English Word,Hebrew Translation,Difficulty Level,Source,Example Sentence
"cooperate, cooperation",,8,band33july18,n
"coordinate, coordination",,8,band33july18,n
"creative, creation",,8,band33july18,n
"criticize, criticism, critical",,8,band33july18,n
"current, currently",,8,band33july18,
"declare, declaration",,8,band33july18,n
"defend, defense",,8,band33july18,
"democracy, democratic",,8,band33july18,adj
"demonstrate, demonstration",,8,band33july18,n
"deny, denial",,8,band33july18,n
"depart, departure",,8,band33july18,n
"depress, depressed, depression, depressing",,8,band33july18,adj
"destroy, destruction",,8,band33july18,n
"detail, detailed",,8,band33july18,adj
"detect, detective, detection",,8,band33july18,n
"determine, determination",,8,band33july18,n
"develop, development",,8,band33july18,n
"die, death",,8,band33july18,n
"differentiate, differentiation",,8,band33july18,n
"direct, directly",,8,band33july18,adv
"discriminate, discrimination",,8,band33july18,n
"dispose, disposal",,8,band33july18,n
"distance, distant",,8,band33july18,adj
"distinction, distinguish",,8,band33july18,v
"distribute, distribution",,8,band33july18,n
"disturb, disturbance",,8,band33july18,n
"diverse, diversity",,8,band33july18,n
"dominant, dominate, domination",,8,band33july18,v
"economic, economically, economics, economy",,8,band33july18,adv
"edit, editor",,8,band33july18,n
"educate, educational",,8,band33july18,adj
"efficient, efficiently, efficiency",,8,band33july18,adv
"elect, election",,8,band33july18,n
"eliminate, elimination",,8,band33july18,n
"emerge, emergence, emerging",,8,band33july18,n
"emotion, emotional",,8,band33july18,adj
"emphasize, emphasis",,8,band33july18,n
"employ, employee, employer, employment",,8,band33july18,n
"engage, engagement",,8,band33july18,n
"engineer, engineering",,8,band33july18,n
"entire, entirely",,8,band33july18,adv
"equally, equality",,8,band33july18,n
"equip, equipment",,8,band33july18,n
"essential, essentially",,8,band33july18,adv
"establish, established, establishment",,8,band33july18,adj
"estimate, estimation",,8,band33july18,n
"evaluate, evaluation",,8,band33july18,n
"evident, evidently",,8,band33july18,adv
"evolve, evolution",,8,band33july18,n
"exceed, excessive",,8,band33july18,adj
"exclude, exclusion",,8,band33july18,n
"exclusive, exclusively",,8,band33july18,adv
"exhibit, exhibition",,8,band33july18,n
"exist, existing, existence",,8,band33july18,adj
"expand, expansion",,8,band33july18,n
"expense(s), expensive",,8,band33july18,adj
"expert, expertise",,8,band33july18,n
"explicit, explicitly",,8,band33july18,adv
"exploit, exploitation",,8,band33july18,n
"explore, exploration",,8,band33july18,n
"expose, exposed",,8,band33july18,adj
"extend, extended, extension, extent",,8,band33july18,adj
"faith, faithful, faithfully",,8,band33july18,adj
"farm, farmer",,8,band33july18,n
"fashion, fashionable",,8,band33july18,adj
"favor, favorable",,8,band33july18,adj
"feel, feeling",,8,band33july18,n
"female, feminine",,8,band33july18,adj
"financial, finance",,8,band33july18,n
"flexible, flexibility",,8,band33july18,n
"formal, formally",,8,band33july18,adv
"formulate, formula",,8,band33july18,n
"France, French",,8,band33july18,n+adj
"free, freedom",,8,band33july18,n
"frequent, frequently, frequency",,8,band33july18,adv
"function, functional",,8,band33july18,adj
"fundamental, fundamentally",,8,band33july18,adv
"geography, geographic",,8,band33july18,adj
"German, Germany",,8,band33july18,n
"global, globally, globalization",,8,band33july18,adv
"gold, golden",,8,band33july18,adj
"guide, guidance, guidelines",,8,band33july18,n
"hero, heroine",,8,band33july18,n
"historical, historically",,8,band33july18,adv
"hopeful, hopefully",,8,band33july18,adv
"human, humanity",,8,band33july18,n
"ideal, ideally, idealism, idealist",,8,band33july18,adv
"ignore, ignorant, ignorance",,8,band33july18,adj
"illustrate, illustration",,8,band33july18,n
"image, imagery",,8,band33july18,
"immigrate, immigrant, immigration",,8,band33july18,n
"implementation, implement",,8,band33july18,v
"implication, imply",,8,band33july18,v
"impress, impressive, impression",,8,band33july18,adj
"incident, incidentally",,8,band33july18,adv
"India, Indian",,8,band33july18,n+adj
"indicate, indication, indicator",,8,band33july18,n
"industry, industrial",,8,band33july18,adj
"inevitable, inevitably",,8,band33july18,adv
"inherent, inherently",,8,band33july18,adv
"initial, initially",,8,band33july18,adv
"injury, injured",,8,band33july18,adj
"inquire, inquiry (enquire, enquiry)",,8,band33july18,n
"instant, instantly",,8,band33july18,adv
"institute, institution",,8,band33july18,n
"insurance, insure",,8,band33july18,v
"integrate, integration",,8,band33july18,n
"intend, intention",,8,band33july18,n
"intense, intensive",,8,band33july18,adj
"interact, interaction, interactive",,8,band33july18,n
"interpret, interpretation",,8,band33july18,n
"introduce, introduction",,8,band33july18,n
"invest, investment",,8,band33july18,n
"investigate, investigation",,8,band33july18,n
"Japan, Japanese",,8,band33july18,adj+n
"journalist, journalism",,8,band33july18,n
"judgment, judge",,8,band33july18,n+v
"just, justice",,8,band33july18,n
"king, kingdom",,8,band33july18,n
"law, lawyer",,8,band33july18,n
"legal, legally",,8,band33july18,adv
"literature, literary",,8,band33july18,adj
"locate, location",,8,band33july18,n
"logic, logical",,8,band33july18,adj
"maintain, maintenance",,8,band33july18,n
"major, majority",,8,band33july18,n
"male, masculine",,8,band33july18,adj
"manage, manager, management",,8,band33july18,n
"market, marketing",,8,band33july18,n
"marriage, married",,8,band33july18,adj
"mass, massive",,8,band33july18,adj
"measure, measurement",,8,band33july18,n
"medical, medicine",,8,band33july18,n
"mental, mentally",,8,band33july18,adv
"merely, mere",,8,band33july18,adj
"minimal, minimize",,8,band33july18,v
"minister, ministry",,8,band33july18,n
"minority, minor",,8,band33july18,adj
"modify, modification",,8,band33july18,n
"moral, morality",,8,band33july18,n
"motive, motivate, motivation",,8,band33july18,v
"multiple, multiply",,8,band33july18,v
"municipal, municipality",,8,band33july18,n
"mutual, mutually",,8,band33july18,adv
"natural, naturally",,8,band33july18,adv
"necessarily, necessity",,8,band33july18,n
"negotiate, negotiation",,8,band33july18,n
"nevertheless, nonetheless",,8,band33july18,
"object, objection",,8,band33july18,n
"oblige, obligation",,8,band33july18,n
"observe, observation",,8,band33july18,n
"obvious, obviously",,8,band33july18,adv
"occupy, occupation",,8,band33july18,n
"offend, offence, offender",,8,band33july18,n
"officer, official, officially",,8,band33july18,adj
"oppose, opposition",,8,band33july18,n
"option, optional, optionally",,8,band33july18,adj
"origin, original, originally",,8,band33july18,adj
"own, owner",,8,band33july18,n
"pain, painful",,8,band33july18,adj
"paint, painting, painter",,8,band33july18,n
"part, partial",,8,band33july18,adj
"participate, participation",,8,band33july18,n
"pay, payment",,8,band33july18,n
"peace, peaceful, peacefully",,8,band33july18,adj
"perceive, perception",,8,band33july18,n
"percent, percentage",,8,band33july18,n
"perform, performance",,8,band33july18,n
"permanent, permanently",,8,band33july18,adv
"permit, permission",,8,band33july18,n
"personal, personally",,8,band33july18,adv
"phenomenon, phenomena",,8,band33july18,n
"precise, precisely",,8,band33july18,adv
"predict, prediction",,8,band33july18,n
"prepare, preparation",,8,band33july18,n
"present, presence",,8,band33july18,n
"press, pressure",,8,band33july18,n
"prevent, prevention",,8,band33july18,n
"previous, previously",,8,band33july18,adv
"play, player",,8,band33july18,n
"politics, politician, political",,8,band33july18,n
"positive, positively",,8,band33july18,adv
"possess, possession, possessive",,8,band33july18,n
"possibly, possibility",,8,band33july18,n
"prior, priority",,8,band33july18,n
"prison, prisoner",,8,band33july18,n
"probable, probability",,8,band33july18,n
"proceed, procedure",,8,band33july18,n
"produce, product, production",,8,band33july18,n
"profession, professional",,8,band33july18,adj
"profit, profitable",,8,band33july18,adj
"progress, progressive",,8,band33july18,adj
"promote, promotion",,8,band33july18,
"propose, proposal",,8,band33july18,n
"psychology, psychological",,8,band33july18,adj
"publish, publication",,8,band33july18,n
"race, racial, racism",,8,band33july18,adj
"rapid, rapidly",,8,band33july18,adv
"react, reaction",,8,band33july18,n
"recommend, recommendation",,8,band33july18,n
"recover, recovery",,8,band33july18,n
"recruit, recruitment",,8,band33july18,n
"reduce, reduction",,8,band33july18,n
"refer, reference",,8,band33july18,n
"reflect, reflection",,8,band33july18,n
"refuse, refusal",,8,band33july18,n
"region, regional",,8,band33july18,adj
"reject, rejection",,8,band33july18,n
"relative, relatively",,8,band33july18,adv
"relevant, relevance",,8,band33july18,n
"relief, relieved",,8,band33july18,adj
"rely, reliable",,8,band33july18,adj
"represent, representative, representation",,8,band33july18,n+adj
"require, required, requirement",,8,band33july18,adj
"resident, reside, residential",,8,band33july18,v
"resist, resistance",,8,band33july18,n
"resolve, resolution",,8,band33july18,n
"respond, response",,8,band33july18,n
"restrict, restriction",,8,band33july18,n
"revise, revision",,8,band33july18,n
"revolution, revolutionary",,8,band33july18,adj
"Russia, Russian",,8,band33july18,adj+n
"satisfy, satisfaction",,8,band33july18,n
"science, scientific, scientist",,8,band33july18,adj
"secure, security",,8,band33july18,n
"select, selection",,8,band33july18,n
"sensitive, sensitivity",,8,band33july18,n
"separate, separation",,8,band33july18,n
"settle, settlement",,8,band33july18,n
"severe, severely",,8,band33july18,adv
"significant, significantly, significance",,8,band33july18,adv
"skill, skilled",,8,band33july18,adj
"slight, slightly",,8,band33july18,adv
"sole, solely",,8,band33july18,adv
"specify, specific, specifically",,8,band33july18,adj
"spirit, spiritual",,8,band33july18,adj
"strategy, strategic",,8,band33july18,adj
"strength, strengthen",,8,band33july18,v
"stress, stressful",,8,band33july18,adj
"subsequent, subsequently",,8,band33july18,adv
"success, successful, successfully",,8,band33july18,adj
"suffer, suffering",,8,band33july18,n
"sufficient, sufficiently",,8,band33july18,adv
"suit, suitable",,8,band33july18,adj
"summarize, summary",,8,band33july18,n
"surround, surroundings",,8,band33july18,n
"survive, survival",,8,band33july18,n
"technology, technological",,8,band33july18,adj
"temporary, temporarily",,8,band33july18,adv
"threat, threaten",,8,band33july18,v
"tradition, traditional, traditionally",,8,band33july18,adj
"transport, transportation",,8,band33july18,n
"typical, typically",,8,band33july18,adv
"unemployed, unemployment",,8,band33july18,n
"unite, united",,8,band33july18,adj
"universe, universal",,8,band33july18,adj
"use, user",,8,band33july18,n
"value, valuable",,8,band33july18,adj
"variety, variation",,8,band33july18,n
"vary, various, varied",,8,band33july18,adj
"violent, violence",,8,band33july18,n
"virtual, virtually",,8,band33july18,adv
"vote, voter",,8,band33july18,n
"weak, weakness",,8,band33july18,n
"figure out sth/sb, figure sth/sb out",,8,band33july18,
"make a (big) difference, make no difference",,8,band33july18,
"make no difference, not make any difference",,8,band33july18,
"make-up, make up",,8,band33july18,She made up her face with new make-up
"next-door (adj), next door (adv)",,8,band33july18,"next-door neighbor, the flat next door"
"pay off sth / pay sth off, pay off",,8,band33july18,We paid off our debts at last! His efforts paid off.
