Lexical Item,Part of Speech,Example
local,adj,
"locate, location",v,n,
"logic, logical",n,adj,
long-term,adj,
look(s),n,
loss,n,
lovely,adj,
lower,v,
luckily,adv,
madam,n,
"maintain, maintenance",v,n,
"major, majority",adj,n,
"male, masculine",adj,adj,
"manage, manager, management",v,n,n,
manner,n,
manners,n,
manufacture,n,
"market, marketing",v,n,
"marriage, married",n,adj,
"mass, massive",n,adj,
master,n+v,
mean,n+adj,A statistical mean; the mean result. He's really mean I don't like him.
"measure, measurement",v,n,
mechanism,n,
media,n,
"medical, medicine",adj,n,"A medical student. You have to take your medicine every day. She's studying medicine."
membership,n,
"mental, mentally",adj,adv,
"merely, mere",adv,adj,
metal,n+adj,
method,n,
mile,n,
military,adj,
"minimal, minimize",adj,v,
"minister, ministry",n,n,
"minority, minor",n,adj,
mirror,n,
miss,v,I missed the train. I miss my mother very much.
mission,n,
mobile,adj+n,"I have a new mobile (phone). (British English for American 'cellphone')"
mode,n,
model,n+v,
"modify, modification",v,n,
monitor,v,
"moral, morality",adj,n,
moreover,adv,
mostly,adv,
"motive, motivate, motivation",n,v,n,
motor,n,
movement,n,
"multiple, multiply",adj,v,
"municipal, municipality",adj,n,
murder,v+n,
"mutual, mutually",adj,adv,
myth,n,
name,v,
"natural, naturally",adj,adv,
nearly,adv,
"necessarily, necessity",adv,n,
neck,n,
need,n,
negative,adj,
"negotiate, negotiation",v,n,
net,adj,Net income
network,n,
neutral,adj,
"nevertheless, nonetheless",adv,
norm,n,
normally,adv,
northern,adj,
nose,n,
notion,n,
novel,n,
nuclear,adj,
numerous,adj,
nurse,n+v,
"object, objection",v,n,
objective,n,
objective,adj,
"oblige, obligation",v,n,I was obliged to agree.
"observe, observation",v,n,
obtain,v,
"obvious, obviously",adj,adv,
occasion,n,
occasionally,adv,
"occupy, occupation",v,n,Is this chair occupied? The occupied territories.
occur,v,
ocean,n,
"offend, offence, offender",v,n,n,"I was offended by his remark. The offender was fined ten thousand shekels."
offense,n,
"officer, official, officially",n,adj,adv,
ongoing,adj,
opening,n,The opening of the new theatre.
"oppose, opposition",v,n,
"option, optional, optionally",n,adj,adv,
organization,n,
"origin, original, originally",n,adj,adv,
otherwise,adv,
outcome,n,
outline,n+v,
output,n,
overall,adj+adv,
"own, owner",v,n,
p.m.,adv,
package,n,
"pain, painful",n,adj,
"paint, painting, painter",v,n,n,
parliament,n,
"part, partial",n,adj,
"participate, participation",v,n,
particularly,adv,
partly,adv,
passage,n,A passage between two houses. A passage of prose.
passive,n+adj,
pattern,n,
"pay, payment",v,n,
"peace, peaceful, peacefully",n,adj,adv,
pepper,n,
per,prep,
"perceive, perception",v,n,
"percent, percentage",adv,n,
"perform, performance",v,n,
period,n,
"permanent, permanently",adj,adv,
"permit, permission",v,n,
"personal, personally",adj,adv,"Personally, I don't agree. Personal taste."
personality,n,
perspective,n,
persuade,v,
phase,n,
"phenomenon, phenomena",n,n,
physical,adj,
physics,n,
post,v,We posted our responses on the forum. I posted my letter. (British)
potential,n+adj,
pour,v,
poverty,n,
practical,adj,
practically,adv,
"precise, precisely",adj,adv,
"predict, prediction",v,n,
"prepare, preparation",v,n,
"present, presence",adj,n,
presentation,n,
president,n,
press,n,The main headlines in the press.
"press, pressure",v,n,
pretty,adj,
pretty,adv,
"prevent, prevention",v,n,
"previous, previously",adj,adv,
pride,n,
pilot,n,
place,v,
planet,n,
planning,n,
plant,n+v,
plastic,n+adj,
"play, player",n,n,
pleasure,n,"It's a pleasure! (response to thanks)"
pocket,n,
point,n,
point,v,
policy,n,
"politics, politician, political",n,n,adj,
pool,n,A pool of water. A pool of resources.
population,n,
"positive, positively",adj,adv,
"possess, possession, possessive",v,n,adj,
"possibly, possibility",adv,n,
primary,adj,
principal,adj+n,
principle,n,
"prior, priority",adj,n,
"prison, prisoner",n,n,
"probable, probability",adj,n,
problematic,adj,
"proceed, procedure",v,n,
process,v,
"produce, product, production",v,n,n,
"profession, professional",n,adj,
profile,n,
"profit, profitable",n+v,adj,
"progress, progressive",n+v,adj,
project,n,
project,v,
promise,v+n,
"promote, promotion",v+n,
properly,adv,
property,n,
proportion,n,
"propose, proposal",v,n,
prospect,n,
protection,n,
protest,n+v,
provision,n,The provision of essential supplies.
"psychology, psychological",n,adj,
"publish, publication",v,n,
pull,v,
pursue,v,
quality,n,
quantity,n,
"race, racial, racism",n,adj,n,
radical,adj,
random,adj,
range,n,
"rapid, rapidly",adj,adv,
rate,n,
rating,n,
ratio,n,
rational,adj,
rationale,n,
"react, reaction",v,n,
readily,adv,
reality,n,
reasonable,adj,
recall,v,
receipt,n,
reception,n,"Please go to the reception at the hotel. The President had a warm reception."
recognition,n,
"recommend, recommendation",v,n,
"recover, recovery",v,n,
"recruit, recruitment",v,n,
"reduce, reduction",v,n,
"refer, reference",v,n,
"reflect, reflection",v,n,
reform,v+n,
refugee,n,
"refuse, refusal",v,n,
regard,v+n,
regarding,prep,
regime,n,
"region, regional",n,adj,
regulation,n,
reinforce,v,
"reject, rejection",v,n,
relationship,n,
"relative, relatively",adj,adv,
release,v+n,
"relevant, relevance",adj,n,
"relief, relieved",n,adj,
"rely, reliable",v,adj,
"represent, representative, representation",v,n+adj,n,
"require, required, requirement",v,adj,n,
research,n+v+adj,
"resident, reside, residential",n+adj,v,adj,
"resist, resistance",v,n,
"resolve, resolution",v,n,She resolved to leave. We resolved the problem. The UN approved the resolution.
resource,n,
respectively,adv,
"respond, response",v,n,
restaurant,n,
"restrict, restriction",v,n,
retain,v,
reveal,v,
review,n+v,
"revise, revision",v,n,"The author was asked to revise the article. We revised the material before the test. (British)"
"revolution, revolutionary",n,adj,
ring,n+v,"She wore a ring. I heard a ring. Please ring me when you have time."
ritual,n,
rock,n,We climbed up to the rock at the top of the mountain.
roll,v+n,The ball rolled into a corner. A bread roll.
roof,n,
root,n,
route,n,
row,n,We stood in a row.
rural,adj,
rush,v+n,
"Russia, Russian",n,adj+n,
safety,n,
salary,n,
sample,n,
sanctions,n,
"satisfy, satisfaction",v,n,
scale,n,"Large-scale, small-scale"
scenario,n,
scene,n,
scenery,n,
scheme,n,
"science, scientific, scientist",n,adj,n,
score,n,The score was 2-1.
screen,n+v,
secondly,adv,She was introduced first of all as a brilliant scientist and secondly as a composer.
section,n,
sector,n,
"secure, security",adj,n,
seek,v,
"select, selection",v,n,
senior,adj,
"sensitive, sensitivity",adj,n,
"separate, separation",adj+v,n,
sequence,n,
series,n,
seriously,adv,
servant,n,
setting,n,
"settle, settlement",v,n,
"severe, severely",adj,adv,
shadow,n,
shake,v,Shake hands.
share,v,
ship,n,
short-term,adj,
shot,n,
shoulder,n,
sight,n,
signal,n,
"significant, significantly, significance",adj,adv,n,
sir,n,
"skill, skilled",n,adj,
"slight, slightly",adj,adv,
slip,v+n,He slipped and fell. I made a slip in spelling.
snow,n,
software,n,
soldier,n,
"sole, solely",adj,adv,
solution,n,
somehow,adv,
somewhat,adv,
somewhere,adv,
soul,n,
source,n,
southern,adj,
spatial,adj,
specialize,v,
"specify, specific, specifically",v,adj,adv,
speech,n,
"spirit, spiritual",n,adj,
spot,n,
spread,n+v,
stable,adj,
stairs,n,
stand,v,Where do you stand on this issue?
stare,v,
statistics,n,
status,n,
steal,v,
steel,n,
stereotype,n+v,
stimulate,v,
stock,n,
stone,n,
storm,n,
"strategy, strategic",n,adj,
"strength, strengthen",n,v,
"stress, stressful",n,adj,
stretch,v,
strongly,adv,
structure,n,
struggle,n+v,
studio,n,
subjective,adj,
"subsequent, subsequently",adj,adv,
substance,n,
substantial,adj,
"success, successful, successfully",n,adj,adv,
"suffer, suffering",v,n,
"sufficient, sufficiently",adj,adv,
sugar,n,
suit,n,
"suit, suitable",v,adj,
sum,n,
"summarize, summary",v,n,
supply,v+n,
surely,adv,
surface,n+adj,
surgery,n,"He had surgery, but is recovering well. I went to the surgery to consult the doctor."
"surround, surroundings",v,n,
survey,v+n,
"survive, survival",v,n,
suspect,v,
sustain,v,
symbol,n,
system,n,The education system. We have a new system of grading exams.
table,n,The figures are shown in a table.
talk,n,
target,n,
task,n,
taste,n,It's a question of taste.
teaching(s),v+n,The teachings of Socrates.
tear,v,To tear a piece of paper.
tear,n,He had tears in his eyes.
technical,adj,
technique,n,
"technology, technological",n,adj,
temperature,n,
"temporary, temporarily",adj,adv,
tendency,n,
term,n,
terms,n,The terms of the agreement.
territory,n,
theater,n,
theme,n,
theory,n,
thereby,adv,
"threat, threaten",n,v,
thus,adv,
tie,v,
tiny,adj,
tip,n,Give a good tip. The tip of an iceberg. Give the waiter a tip.
tired,adj,
tone,n,A tone of voice. A telephone ring-tone.
tooth,n,
totally,adv,
touch,n+v,He was touched by her kind words. A touch screen.
tough,adj,
track,n,We walked along the track. Please play the first track on the disk.
"tradition, traditional, traditionally",n,adj,adv,
transfer,v,
transform,v,
transmit,v,
"transport, transportation",v,n,
travel,n,
trek,v+n,
trend,n,
trial,n,
troops,n,
truly,adv,
trust,n+v,
truth,n,
twice,adv,
"typical, typically",adj,adv,
unable,adj,
"unemployed, unemployment",adj,n,
unfortunately,adv,
union,n,
unique,adj,
"unite, united",v,adj,
"universe, universal",n,adj,
university,n,
unlikely,adj,
upper,adj,
urban,adj,
"use, user",n,n,
valid,adj,
"value, valuable",n,adj,
"variety, variation",n,n,
"vary, various, varied",v,adj,adj,
vehicle,n,
version,n,
vertical,adj,
via,prep,
victim,n,
victory,n,
video,n+adj,
"violent, violence",adj,n,
"virtual, virtually",adj,adv,Virtual reality. I understood virtually all of what they said.
virtue,n,
visible,adj,
vision,n,He is a man of vision. Her vision is poor.
visitor,n,
vital,adj,
volume,n,The volume was very loud. What is the volume of a cube?
voluntary,adj,
volunteer,n+v,
"vote, voter",v,n,
wave,n,
way,n,
"weak, weakness",adj,n,
weapon,n,
weekend,n+adj,
welfare,n,
western,adj,
whereas,conj,
whom,pron,
wicked,adj,
widely,adv,
width,n,
wild,adj,
will,n,Where there's a will there's a way.
willing,adj,
wine,n,
wing,n,The wing of a bird.
winner,n,
withdraw,v,
witness,n,
workshop,n,
writer,n,
yard,n,The yard behind a house.
youth,n,I remember my youth. The youth of today.
zone,n,
a degree of,,You need a degree of confidence to succeed.
a handful of,,
about to do sth,,I was about to call you when you rang.
aimed at,,These activities are aimed at senior citizens.
all in all,,
all sorts of sth,,
all the way,,
among other things,,
as a matter of fact,,
as a whole,,
as follows,,
as for,,
as though,,
at a time,,two at a time
at first sight,,
at risk,,
at the expense of,,
at times,,
attached to sb or sth,,
back up sb/sth / back sb/sth up,,
be able to do sth,,
be no good / be not any/much good,,
be the case,,That is not the case it's not true
to blame,,
bear/keep in mind,,
better off,,
blow up,,The children blew up the balloons for the birthday party. The blew up the old building with dynamite
bound to,,It's bound to happen inevitable.
break down,,The old car broke down
break off,,We broke off the discussion to have coffee
break out,,a disease broke out and many people died
break up,,They broke up the meeting.
bring up,,"The chairperson brought up a new issue. The parents bring up their children."
by/in contrast (to),,
by far,,They are by far the best team in the country
by means of,,
by no means,,
by now,,
call for,,I'll come by and call for you at eight o'clock at your home.
can tell,,I can tell by your smile that you are satisfied.
care for,,She cares for her old mother.
carry on sth / carry sth on,,
catch up (with),,"Let's meet and catch up! I was walking faster than he was, so I soon caught up with him."
check out,,Check out of the hotel by 12 o'clock.
check out sth / check sth out,,We checked out the area: it's safe.
clean up,,Please clean up after you've finished working here.
close down sth / close sth down,,
come across sth/sb,,I came across this idea as I was reading.
come down with sth,,He came down with the flu
come on!,,
come out,,The books comes out next month.
come over,,Please come over when you're in town!
come true,,
come up (to),,A stranger came up (to me) to ask for directions
come up with sth,,She came up with an amazing idea.
common sense,,
concerned with sth,,The article is concerned with matters of health.
consist of,,
contrary to,,
cope with,,
cut off,,We talked on the telephone until we were cut off.
do so,,
during/in/over the course of,,
end up,,She studied medicine but ended up being a teacher.
even so,,
except that/for,,
fail to do sth,,"I failed to complete the assignment on time. He failed to turn up."
"figure out sth/sb, figure sth/sb out",,
fond of,,
for good,,
for life,,
for long,,
for some time,,
for the moment,,
for the sake of,,
free from,,
from time to time,,
full-time,,
get away with,,He cheated and got away with it.
get into,,He got into University.
get it,,I just don't get it.
get on sb nerves,,
get on with,,She gets on well with her neighbors.
get out,,Don't get out before I park the car.
get over,,She couldn't get over her disappointment.
get rid of,,
get through,,
get to,,I'm worried where they got to they're very late.
give back sth / give sth back,,
give in,,"I finally gave in to his persuasion, and agreed to do it."
give out sth / give sth out,,Please give out the books to the students.
go for it!,,
go for sth,,You should go for the auditions as you are good at singing.
go into,,We'll go into details later.
go off,,"They stayed for a while, and then went off. The milk wasn't fresh and went off quickly."
go over,,Please go over your work before you submit it.
go through,,
I'm afraid,,I'm afraid you're wrong
in a way,,
in advance,,
in case of sth,,
in detail,,
in favor of,,
in full,,
in itself,,The book wasn't interesting in itself but the illustrations were good.
in need of,,
in part,,
in practice,,In practice the rules have had a positive effect.
in public,,
in relation to,,"Buying a house is expensive in relation to income. We have questions in relation to your decision."
in return (for),,
in short,,
in sth terms/in terms of sth,,In political terms the move was a failure.
in that case,,
in the first place,,Why didn't you say so in the first place.
good for you!,,
grow up,,
hand out sth / hand sth out,,
hand over sth/sb / hand sth/sb over,,
hang on,,Hang on it won't take long!
hold back sth / hold sth back,,He held back his tears.
hold on,,hold on a minute I am not ready!
hold up sb/sth / hold sb/sth up,,
how come,,
How/What about?,,
I suppose (so),,
I/you/he etc. had better do sth,,You'd better see a doctor.
if only,,
if so,,
if you like,,
in the first place,,There are various reasons for this. In the first place.....
in the form of sth,,
in the light of sth,,In light of the new information....
in the long run,,
in the meantime,,
in this respect/in many respects,,
in view of,,
in/by contrast,,
in/with regard to,,
it would appear (that),,
it's a good thing,,
just about,,
just as,,Just as I was leaving.... Her painting was just as good as his.
(just) in case,,
keep on doing sth,,
keep up sth / keep sth up,,
let alone,,He can't take care of his pet dog let alone a baby!
line up (sb/sth) / line (sb/sth) up,,Please line up to get your certificates.
long-term,,
look down on sb,,
look out for sb/sth,,
Look out!,,
made up of,,
"make a (big) difference, make no difference",,
"make no difference, not make any difference",,
Make up one's / your mind,,
make out sth / make sth out,,Could you make out his meaning?
make up one's mind / make your mind up,,
make up sth / make sth up,,I made up a story
make use of,,
"make-up, make up",,She made up her face with new make-up
