English Word,Hebrew Translation,Difficulty Level,Source,Example Sentence
painting,[TO TRANSLATE],8,band33july18,n
part,[TO TRANSLATE],6,band33july18,adj
partial,[TO TRANSLATE],8,band33july18,adj
participation,[TO TRANSLATE],9,band33july18,n
particularly,[TO TRANSLATE],9,band33july18,
partly,[TO TRANSLATE],7,band33july18,
pass on sth / pass sth on,[TO TRANSLATE],7,band33july18,Please pass on this message as soon as you can.
pay off,[TO TRANSLATE],7,band33july18,We paid off our debts at last! His efforts paid off.
pay off sth / pay sth off,[TO TRANSLATE],7,band33july18,We paid off our debts at last! His efforts paid off.
payment,[TO TRANSLATE],8,band33july18,n
peace,[TO TRANSLATE],7,band33july18,adj
peaceful,[TO TRANSLATE],8,band33july18,adj
peacefully,[TO TRANSLATE],9,band33july18,adj
pepper,[TO TRANSLATE],7,band33july18,
per,[TO TRANSLATE],6,band33july18,
percent,[TO TRANSLATE],8,band33july18,n
percentage,[TO TRANSLATE],9,band33july18,n
perception,[TO TRANSLATE],9,band33july18,n
performance,[TO TRANSLATE],9,band33july18,n
period,[TO TRANSLATE],7,band33july18,
permanently,[TO TRANSLATE],9,band33july18,adv
permission,[TO TRANSLATE],9,band33july18,n
person),[TO TRANSLATE],8,band33july18,She was chair of the committee.
personal,[TO TRANSLATE],8,band33july18,adv
phenomena,[TO TRANSLATE],8,band33july18,n
physics,[TO TRANSLATE],8,band33july18,
pilot,[TO TRANSLATE],7,band33july18,
planet,[TO TRANSLATE],7,band33july18,
planning,[TO TRANSLATE],8,band33july18,
plant,[TO TRANSLATE],7,band33july18,
plastic,[TO TRANSLATE],8,band33july18,
player,[TO TRANSLATE],7,band33july18,n
pleasure,[TO TRANSLATE],8,band33july18,It's a pleasure! (response to thanks)
pocket,[TO TRANSLATE],7,band33july18,
point,[TO TRANSLATE],7,band33july18,
point out sth / point sth out,[TO TRANSLATE],7,band33july18,
political,[TO TRANSLATE],8,band33july18,n
politician,[TO TRANSLATE],9,band33july18,n
pool,[TO TRANSLATE],6,band33july18,A pool of water. A pool of resources.
population,[TO TRANSLATE],9,band33july18,
positive,[TO TRANSLATE],8,band33july18,adv
positively,[TO TRANSLATE],9,band33july18,adv
possession,[TO TRANSLATE],9,band33july18,n
possessive,[TO TRANSLATE],9,band33july18,n
possibility,[TO TRANSLATE],9,band33july18,n
possibly,[TO TRANSLATE],8,band33july18,n
post,[TO TRANSLATE],6,band33july18,We posted our responses on the forum. I posted my letter. (British)
practically,[TO TRANSLATE],9,band33july18,
precisely,[TO TRANSLATE],8,band33july18,adv
prediction,[TO TRANSLATE],9,band33july18,n
president,[TO TRANSLATE],8,band33july18,
pretty,[TO TRANSLATE],7,band33july18,
prevent,[TO TRANSLATE],8,band33july18,n
prevention,[TO TRANSLATE],9,band33july18,n
previously,[TO TRANSLATE],9,band33july18,adv
pride,[TO TRANSLATE],7,band33july18,
prisoner,[TO TRANSLATE],8,band33july18,n
probability,[TO TRANSLATE],9,band33july18,n
probable,[TO TRANSLATE],8,band33july18,n
problematic,[TO TRANSLATE],9,band33july18,
product,[TO TRANSLATE],8,band33july18,n
professional,[TO TRANSLATE],9,band33july18,adj
profile,[TO TRANSLATE],8,band33july18,
profitable,[TO TRANSLATE],9,band33july18,adj
progressive,[TO TRANSLATE],9,band33july18,adj
promote,[TO TRANSLATE],8,band33july18,
promotion,[TO TRANSLATE],8,band33july18,
properly,[TO TRANSLATE],8,band33july18,
protection,[TO TRANSLATE],9,band33july18,
psychology,[TO TRANSLATE],9,band33july18,adj
pull,[TO TRANSLATE],6,band33july18,
put down sth / put sth down,[TO TRANSLATE],7,band33july18,Put down your bags and come in.
put forward sth / put sth forward,[TO TRANSLATE],7,band33july18,The students have put forward a proposal to shorten the term.
put off sth / put sth off,[TO TRANSLATE],7,band33july18,
put on sth / put sth on,[TO TRANSLATE],7,band33july18,
put sth together / put together sth,[TO TRANSLATE],7,band33july18,
put up sb/put sb up,[TO TRANSLATE],7,band33july18,Can you put me up overnight?
quality,[TO TRANSLATE],8,band33july18,
quantity,[TO TRANSLATE],8,band33july18,
racial,[TO TRANSLATE],7,band33july18,adj
racism,[TO TRANSLATE],7,band33july18,adj
radical,[TO TRANSLATE],8,band33july18,
random,[TO TRANSLATE],7,band33july18,
rapidly,[TO TRANSLATE],8,band33july18,adv
ratio,[TO TRANSLATE],7,band33july18,
rationale,[TO TRANSLATE],8,band33july18,
reaction,[TO TRANSLATE],8,band33july18,n
readily,[TO TRANSLATE],8,band33july18,
receipt,[TO TRANSLATE],8,band33july18,
recommendation,[TO TRANSLATE],9,band33july18,n
recovery,[TO TRANSLATE],8,band33july18,n
recruitment,[TO TRANSLATE],9,band33july18,n
reduction,[TO TRANSLATE],8,band33july18,n
reflection,[TO TRANSLATE],9,band33july18,n
regional,[TO TRANSLATE],8,band33july18,adj
rejection,[TO TRANSLATE],8,band33july18,n
relate(d) to sb/sth,[TO TRANSLATE],7,band33july18,Many youngsters can't relate to old people.
relationship,[TO TRANSLATE],9,band33july18,
relevance,[TO TRANSLATE],8,band33july18,n
relieved,[TO TRANSLATE],8,band33july18,adj
representation,[TO TRANSLATE],9,band33july18,n+adj
required,[TO TRANSLATE],8,band33july18,adj
reside,[TO TRANSLATE],7,band33july18,v
resident,[TO TRANSLATE],8,band33july18,v
residential,[TO TRANSLATE],9,band33july18,v
resistance,[TO TRANSLATE],9,band33july18,n
resolution,[TO TRANSLATE],9,band33july18,n
respectively,[TO TRANSLATE],9,band33july18,
revision,[TO TRANSLATE],8,band33july18,n
revolutionary,[TO TRANSLATE],9,band33july18,adj
rock,[TO TRANSLATE],6,band33july18,We climbed up to the rock at the top of the mountain.
roll,[TO TRANSLATE],6,band33july18,The ball rolled into a corner. A bread roll.
roof,[TO TRANSLATE],6,band33july18,
Russia,[TO TRANSLATE],7,band33july18,adj+n
Russian,[TO TRANSLATE],8,band33july18,adj+n
safety,[TO TRANSLATE],7,band33july18,
salary,[TO TRANSLATE],7,band33july18,
sample,[TO TRANSLATE],7,band33july18,
sanctions,[TO TRANSLATE],8,band33july18,
satisfaction,[TO TRANSLATE],9,band33july18,n
satisfy,[TO TRANSLATE],8,band33july18,n
scale,[TO TRANSLATE],7,band33july18,"Large-scale, small-scale"
scenario,[TO TRANSLATE],8,band33july18,
scene,[TO TRANSLATE],7,band33july18,
scenery,[TO TRANSLATE],8,band33july18,
scheme,[TO TRANSLATE],7,band33july18,
scientific,[TO TRANSLATE],9,band33july18,adj
scientist,[TO TRANSLATE],8,band33july18,adj
screen,[TO TRANSLATE],7,band33july18,
secondly,[TO TRANSLATE],8,band33july18,She was introduced first of all as a brilliant scientist and secondly as a composer.
section,[TO TRANSLATE],8,band33july18,
sector,[TO TRANSLATE],7,band33july18,
secure,[TO TRANSLATE],7,band33july18,n
security,[TO TRANSLATE],8,band33july18,n
seek,[TO TRANSLATE],6,band33july18,
select,[TO TRANSLATE],7,band33july18,n
selection,[TO TRANSLATE],8,band33july18,n
senior,[TO TRANSLATE],7,band33july18,
sensitive,[TO TRANSLATE],8,band33july18,n
sensitivity,[TO TRANSLATE],9,band33july18,n
separate,[TO TRANSLATE],8,band33july18,n
separation,[TO TRANSLATE],9,band33july18,n
sequence,[TO TRANSLATE],8,band33july18,
series,[TO TRANSLATE],7,band33july18,
seriously,[TO TRANSLATE],8,band33july18,
servant,[TO TRANSLATE],8,band33july18,
set out / set out sth / set sth out,[TO TRANSLATE],7,band33july18,The teacher set out the rules on the first day of class.
setting,[TO TRANSLATE],8,band33july18,
settle,[TO TRANSLATE],7,band33july18,n
settlement,[TO TRANSLATE],9,band33july18,n
severe,[TO TRANSLATE],7,band33july18,adv
severely,[TO TRANSLATE],8,band33july18,adv
shadow,[TO TRANSLATE],7,band33july18,
shake,[TO TRANSLATE],7,band33july18,Shake hands.
share,[TO TRANSLATE],7,band33july18,
ship,[TO TRANSLATE],6,band33july18,
short term/in the short term,[TO TRANSLATE],7,band33july18,
short-term,[TO TRANSLATE],7,band33july18,
shot,[TO TRANSLATE],6,band33july18,
shoulder,[TO TRANSLATE],8,band33july18,
shut (sb) up,[TO TRANSLATE],7,band33july18,You're talking too much: shut up!
shut down (sth) / shut down (sth),[TO TRANSLATE],7,band33july18,We shut down the computer.
sight,[TO TRANSLATE],7,band33july18,
signal,[TO TRANSLATE],7,band33july18,
significance,[TO TRANSLATE],9,band33july18,adv
significant,[TO TRANSLATE],9,band33july18,adv
significantly,[TO TRANSLATE],9,band33july18,adv
sir,[TO TRANSLATE],6,band33july18,
skill,[TO TRANSLATE],7,band33july18,adj
skilled,[TO TRANSLATE],8,band33july18,adj
slight,[TO TRANSLATE],7,band33july18,adv
slightly,[TO TRANSLATE],8,band33july18,adv
slip,[TO TRANSLATE],6,band33july18,He slipped and fell. I made a slip in spelling.
software,[TO TRANSLATE],8,band33july18,
soldier,[TO TRANSLATE],8,band33july18,
sole,[TO TRANSLATE],6,band33july18,adv
solely,[TO TRANSLATE],7,band33july18,adv
solution,[TO TRANSLATE],8,band33july18,
somehow,[TO TRANSLATE],8,band33july18,
somewhat,[TO TRANSLATE],8,band33july18,
somewhere,[TO TRANSLATE],8,band33july18,
soul,[TO TRANSLATE],6,band33july18,
source,[TO TRANSLATE],7,band33july18,
southern,[TO TRANSLATE],8,band33july18,
spatial,[TO TRANSLATE],8,band33july18,
specialize,[TO TRANSLATE],9,band33july18,
specifically,[TO TRANSLATE],9,band33july18,adj
specify,[TO TRANSLATE],8,band33july18,adj
speech,[TO TRANSLATE],7,band33july18,
spirit,[TO TRANSLATE],7,band33july18,adj
spiritual,[TO TRANSLATE],8,band33july18,adj
spot,[TO TRANSLATE],6,band33july18,
spread,[TO TRANSLATE],7,band33july18,
stable,[TO TRANSLATE],7,band33july18,
stairs,[TO TRANSLATE],7,band33july18,
stare,[TO TRANSLATE],7,band33july18,
statistics,[TO TRANSLATE],9,band33july18,
status,[TO TRANSLATE],7,band33july18,
steal,[TO TRANSLATE],7,band33july18,
steel,[TO TRANSLATE],7,band33july18,
stereotype,[TO TRANSLATE],9,band33july18,
stimulate,[TO TRANSLATE],8,band33july18,
stock,[TO TRANSLATE],7,band33july18,
stone,[TO TRANSLATE],7,band33july18,
storm,[TO TRANSLATE],7,band33july18,
strategic,[TO TRANSLATE],8,band33july18,adj
strategy,[TO TRANSLATE],8,band33july18,adj
strength,[TO TRANSLATE],8,band33july18,v
strengthen,[TO TRANSLATE],9,band33july18,v
stress,[TO TRANSLATE],7,band33july18,adj
stressful,[TO TRANSLATE],8,band33july18,adj
stretch,[TO TRANSLATE],8,band33july18,
strongly,[TO TRANSLATE],8,band33july18,
structure,[TO TRANSLATE],8,band33july18,
struggle,[TO TRANSLATE],8,band33july18,
studio,[TO TRANSLATE],7,band33july18,
subjective,[TO TRANSLATE],9,band33july18,
subsequent,[TO TRANSLATE],9,band33july18,adv
subsequently,[TO TRANSLATE],9,band33july18,adv
substance,[TO TRANSLATE],8,band33july18,
substantial,[TO TRANSLATE],9,band33july18,
success,[TO TRANSLATE],8,band33july18,adj
successful,[TO TRANSLATE],9,band33july18,adj
successfully,[TO TRANSLATE],9,band33july18,adj
suffer,[TO TRANSLATE],7,band33july18,n
suffering,[TO TRANSLATE],8,band33july18,n
sufficient,[TO TRANSLATE],9,band33july18,adv
sufficiently,[TO TRANSLATE],9,band33july18,adv
sugar,[TO TRANSLATE],6,band33july18,
suitable,[TO TRANSLATE],8,band33july18,adj
sum,[TO TRANSLATE],6,band33july18,
sum up sth/sb / sum sth/sb up,[TO TRANSLATE],7,band33july18,
summarize,[TO TRANSLATE],8,band33july18,n
summary,[TO TRANSLATE],8,band33july18,n
supply,[TO TRANSLATE],7,band33july18,
surely,[TO TRANSLATE],7,band33july18,
surface,[TO TRANSLATE],8,band33july18,
surgery,[TO TRANSLATE],8,band33july18,"He had surgery, but is recovering well. I went to the surgery to consult the doctor."
surround,[TO TRANSLATE],8,band33july18,n
surroundings,[TO TRANSLATE],9,band33july18,n
survey,[TO TRANSLATE],7,band33july18,
survival,[TO TRANSLATE],8,band33july18,n
survive,[TO TRANSLATE],8,band33july18,n
suspect,[TO TRANSLATE],8,band33july18,
sustain,[TO TRANSLATE],8,band33july18,
symbol,[TO TRANSLATE],7,band33july18,
system,[TO TRANSLATE],7,band33july18,The education system. We have a new system of grading exams.
take advantage of sth/sbd,[TO TRANSLATE],7,band33july18,I took advantage of my free time to catch up on work. You shouldn't take advantage of someone's weakness.
take back sth / take sth back,[TO TRANSLATE],7,band33july18,
take on sb/take sb on / take on sth / take sth on,[TO TRANSLATE],7,band33july18,We took on too much work. We took too much work on ourselves.
take over sth/take sth over,[TO TRANSLATE],7,band33july18,
take up sth/take sth up,[TO TRANSLATE],7,band33july18,It takes up too much time. She took up dancing.
target,[TO TRANSLATE],7,band33july18,
task,[TO TRANSLATE],6,band33july18,
teaching(s),[TO TRANSLATE],9,band33july18,The teachings of Socrates.
tear,[TO TRANSLATE],6,band33july18,To tear a piece of paper.
technical,[TO TRANSLATE],8,band33july18,
technique,[TO TRANSLATE],8,band33july18,
technological,[TO TRANSLATE],9,band33july18,adj
temperature,[TO TRANSLATE],9,band33july18,
temporarily,[TO TRANSLATE],9,band33july18,adv
temporary,[TO TRANSLATE],8,band33july18,adv
tendency,[TO TRANSLATE],8,band33july18,
terms,[TO TRANSLATE],7,band33july18,The terms of the agreement.
territory,[TO TRANSLATE],8,band33july18,
theater,[TO TRANSLATE],8,band33july18,
theme,[TO TRANSLATE],7,band33july18,
theory,[TO TRANSLATE],7,band33july18,
thereby,[TO TRANSLATE],9,band33july18,
think over sth or think sth over,[TO TRANSLATE],7,band33july18,
threat,[TO TRANSLATE],7,band33july18,v
threaten,[TO TRANSLATE],8,band33july18,v
thus,[TO TRANSLATE],6,band33july18,
tie,[TO TRANSLATE],6,band33july18,
tiny,[TO TRANSLATE],6,band33july18,
tip,[TO TRANSLATE],6,band33july18,Give a good tip. The tip of an iceberg. Give the waiter a tip.
to some extent/to a certain extent,[TO TRANSLATE],7,band33july18,
tone,[TO TRANSLATE],6,band33july18,A tone of voice. A telephone ring-tone.
tooth,[TO TRANSLATE],6,band33july18,
totally,[TO TRANSLATE],8,band33july18,
tough,[TO TRANSLATE],7,band33july18,
track,[TO TRANSLATE],7,band33july18,We walked along the track. Please play the first track on the disk.
traditional,[TO TRANSLATE],9,band33july18,adj
traditionally,[TO TRANSLATE],9,band33july18,adj
transfer,[TO TRANSLATE],8,band33july18,
transform,[TO TRANSLATE],8,band33july18,
transmit,[TO TRANSLATE],8,band33july18,
transportation,[TO TRANSLATE],9,band33july18,n
trek,[TO TRANSLATE],6,band33july18,
trend,[TO TRANSLATE],7,band33july18,
trial,[TO TRANSLATE],7,band33july18,
troops,[TO TRANSLATE],7,band33july18,
truly,[TO TRANSLATE],7,band33july18,
truth,[TO TRANSLATE],7,band33july18,
turn (sth) back,[TO TRANSLATE],7,band33july18,
turn down sb/sth / turn sb/sth down,[TO TRANSLATE],7,band33july18,She proposed marriage and he turned her down.
turn down sth / turn sth down,[TO TRANSLATE],7,band33july18,Please turn down the volume. Please turn it down.
turn off sth / turn sth off,[TO TRANSLATE],7,band33july18,
turn on sth / turn sth on,[TO TRANSLATE],7,band33july18,
turn up sth / turn sth up / turn up (somewhere),[TO TRANSLATE],7,band33july18,Please turn up the volume. Please turn it up.
twice,[TO TRANSLATE],7,band33july18,
typical,[TO TRANSLATE],8,band33july18,adv
typically,[TO TRANSLATE],8,band33july18,adv
unable,[TO TRANSLATE],7,band33july18,
unemployed,[TO TRANSLATE],9,band33july18,n
unemployment,[TO TRANSLATE],9,band33july18,n
unfortunately,[TO TRANSLATE],9,band33july18,
union,[TO TRANSLATE],7,band33july18,
unique,[TO TRANSLATE],7,band33july18,
unite,[TO TRANSLATE],7,band33july18,adj
united,[TO TRANSLATE],7,band33july18,adj
universal,[TO TRANSLATE],8,band33july18,adj
universe,[TO TRANSLATE],8,band33july18,adj
university,[TO TRANSLATE],9,band33july18,
unlikely,[TO TRANSLATE],8,band33july18,
up to date / out of date,[TO TRANSLATE],7,band33july18,
upper,[TO TRANSLATE],7,band33july18,
urban,[TO TRANSLATE],7,band33july18,
user,[TO TRANSLATE],6,band33july18,n
valid,[TO TRANSLATE],7,band33july18,
valuable,[TO TRANSLATE],8,band33july18,adj
value,[TO TRANSLATE],7,band33july18,adj
variation,[TO TRANSLATE],8,band33july18,n
varied,[TO TRANSLATE],7,band33july18,adj
variety,[TO TRANSLATE],8,band33july18,n
various,[TO TRANSLATE],8,band33july18,adj
vary,[TO TRANSLATE],6,band33july18,adj
vehicle,[TO TRANSLATE],8,band33july18,
version,[TO TRANSLATE],8,band33july18,
vertical,[TO TRANSLATE],8,band33july18,
via,[TO TRANSLATE],6,band33july18,
victim,[TO TRANSLATE],7,band33july18,
victory,[TO TRANSLATE],8,band33july18,
video,[TO TRANSLATE],7,band33july18,
violence,[TO TRANSLATE],8,band33july18,n
violent,[TO TRANSLATE],8,band33july18,n
virtual,[TO TRANSLATE],8,band33july18,adv
virtually,[TO TRANSLATE],8,band33july18,adv
virtue,[TO TRANSLATE],7,band33july18,
visible,[TO TRANSLATE],8,band33july18,
vision,[TO TRANSLATE],7,band33july18,He is a man of vision. Her vision is poor.
visitor,[TO TRANSLATE],8,band33july18,
vital,[TO TRANSLATE],7,band33july18,
volume,[TO TRANSLATE],7,band33july18,The volume was very loud. What is the volume of a cube?
voluntary,[TO TRANSLATE],8,band33july18,
volunteer,[TO TRANSLATE],8,band33july18,
vote,[TO TRANSLATE],6,band33july18,n
voter,[TO TRANSLATE],7,band33july18,n
weak,[TO TRANSLATE],6,band33july18,n
weakness,[TO TRANSLATE],8,band33july18,n
weapon,[TO TRANSLATE],7,band33july18,
weekend,[TO TRANSLATE],8,band33july18,
welfare,[TO TRANSLATE],8,band33july18,
western,[TO TRANSLATE],8,band33july18,
whereas,[TO TRANSLATE],8,band33july18,
whom,[TO TRANSLATE],6,band33july18,
wicked,[TO TRANSLATE],7,band33july18,
widely,[TO TRANSLATE],7,band33july18,
width,[TO TRANSLATE],7,band33july18,
wild,[TO TRANSLATE],6,band33july18,
will,[TO TRANSLATE],6,band33july18,Where there's a will there's a way.
willing,[TO TRANSLATE],8,band33july18,
wine,[TO TRANSLATE],6,band33july18,
wing,[TO TRANSLATE],6,band33july18,The wing of a bird.
winner,[TO TRANSLATE],7,band33july18,
withdraw,[TO TRANSLATE],8,band33july18,
witness,[TO TRANSLATE],8,band33july18,
woman,[TO TRANSLATE],7,band33july18,She was chair of the committee.
workshop,[TO TRANSLATE],8,band33july18,
write sth down or write down sth,[TO TRANSLATE],7,band33july18,
writer,[TO TRANSLATE],7,band33july18,
yard,[TO TRANSLATE],6,band33july18,The yard behind a house.
youth,[TO TRANSLATE],7,band33july18,I remember my youth. The youth of today.
zone,[TO TRANSLATE],6,band33july18,
