English Word,Hebrew Translation,Difficulty Level,Example Sentence
clearly,,8,
client,,7,
close down sth / close sth down,,7,
colleague,,8,
combination,,9,n
combine,,8,n
come across sth/sb,,7,I came across this idea as I was reading.
come down with sth,,7,He came down with the flu
come on!,,7,
come out,,7,The books comes out next month.
come over,,7,Please come over when you're in town!
come true,,7,
come up (to),,7,A stranger came up (to me) to ask for directions
come up with sth,,7,She came up with an amazing idea.
commander,,8,
comment,,8,
commerce,,8,adj
commercial,,9,adj
commit,,7,Commit a crime. They committed themselves. They were committed to helping the poor. It was a serious commitment.
commitment,,9,Commit a crime. They committed themselves. They were committed to helping the poor. It was a serious commitment.
committee,,8,
common sense,,7,
community,,8,
comparative,,9,adj
comparison,,9,adj
compete,,8,n
complex,,8,
component,,8,
compose,,8,n
composition,,9,n
comprehend,,9,n
comprehension,,9,n
comprehensive,,9,
comprise,,8,adj
comprised of,,7,adj
concentrate,,9,n
concentration,,9,n
concept,,8,
concerned,,8,adj
concerned with sth,,7,The article is concerned with matters of health.
conclude,,8,v
conclusion,,9,v
conference,,9,
confidence,,9,n
confident,,8,n
confirm,,8,n
confirmation,,9,n
conflict,,8,
consensus,,8,
consequently,,9,adv
considerably,,9,adv
consideration,,9,Take into consideration.
considered (as),,7,
consist,,8,
consist of,,7,
consistent,,9,adv
consistently,,9,adv
constant,,8,adv
constantly,,9,adv
constitution,,9,the American constitution is a list of laws.
construct,,8,n
construction,,9,n
consume,,8,n
consumer,,8,n
container,,8,n
context,,8,
continuous,,9,adv
continuously,,9,adv
contradict,,9,
contrary to,,7,
contrast,,8,In contrast.
contribute,,9,n
contribution,,9,n
convention,,9,adj
conventional,,9,adj
convert,,8,
convey,,7,
cooperate,,8,n
cooperation,,9,n
coordinate,,9,n
coordination,,9,n
cope with,,7,
core,,6,
council,,8,
creation,,8,n
crisis,,7,
criterion (pl: criteria),,7,
critical,,8,n
criticize,,8,n
crucial,,8,
currently,,8,
curriculum,,9,
cut off,,7,We talked on the telephone until we were cut off.
debate,,7,
declaration,,9,n
decline,,8,
defend,,7,
defense,,8,
define,,7,
delegation,,9,
democracy,,8,adj
democratic,,9,adj
demonstration,,9,n
denial,,7,n
depress,,8,adj
depressed,,8,adj
depressing,,9,adj
depression,,9,adj
derive,,7,
despite,,8,
detailed,,8,adj
detection,,8,n
determination,,9,n
devise,,7,
dialogue,,8,
differentiate,,9,n
differentiation,,9,n
dilemma,,8,
dimension,,8,
diminish,,8,
discipline,,9,Science is a discipline. Classroom discipline.
discriminate,,9,n
discrimination,,9,n
dish(es),,8,
display,,8,
disposal,,8,n
dispose,,8,n
dissatisfied,,9,
distant,,8,adj
distinction,,9,v
distribute,,9,n
distribution,,9,n
district,,8,
disturbance,,9,n
diverse,,8,n
diversity,,8,n
division,,8,
do so,,7,
domain,,7,
dominant,,8,v
dominate,,8,v
domination,,9,v
drawing,,8,
driver,,7,
drug,,6,
dual,,6,
during/in/over the course of,,7,
duty,,6,
dynamic(s),,9,
e.g,,6,
earn,,6,
easily,,7,
Easter,,7,
eastern,,8,
economic,,8,adv
economically,,9,adv
economics,,8,adv
economy,,8,adv
edge,,6,
edit,,6,n
educational,,9,adj
effective,,8,
efficiency,,9,adv
efficiently,,9,adv
elect,,7,n
election,,8,n
electronic,,9,
elementary,,9,
eliminate,,8,n
elimination,,9,n
elsewhere,,8,
emergence,,8,n
emergency,,8,
emerging,,8,n
emotional,,8,adj
emphasize,,8,n
employ,,7,n
employee,,8,n
employer,,8,n
employment,,9,n
enable,,7,
encounter,,8,
end up,,7,She studied medicine but ended up being a teacher.
enemy,,7,
engage,,7,n
engineer,,8,n
engineering,,9,n
enhance,,8,
enquiry),,8,n
ensure,,7,
enterprise,,9,
entire,,7,adv
entirely,,8,adv
entitled,,8,You are entitled to a promotion.
entrance,,8,
entry,,7,
environmental,,9,
equality,,8,n
equally,,8,n
equip,,7,n
equipment,,8,n
equivalent,,9,
era,,6,
error,,7,
essential,,8,adv
establish,,8,adj
established,,9,adj
establishment,,9,adj
estimate,,8,n
estimation,,9,n
etc.,,6,
ethical,,8,
ethnic,,7,
European,,8,
evaluate,,8,n
evaluation,,9,n
even so,,7,
eventually,,9,
everywhere,,9,
evidence,,8,
evident,,8,adv
evidently,,8,adv
evolution,,8,n
evolve,,7,n
exceed,,7,adj
except that/for,,7,
excessive,,8,adj
exclude,,8,n
exclusion,,8,n
exclusive,,8,adv
exclusively,,9,adv
executive,,8,
exercise,,8,
exhibit,,8,n
exhibition,,9,n
existence,,8,adj
existing,,8,adj
exit,,6,
expand,,7,n
expansion,,8,n
expectation(s),,9,
expense(s),,9,adj
expensive,,8,adj
expertise,,8,n
explicit,,8,adv
explicitly,,9,adv
exploit,,8,n
exploitation,,9,n
exploration,,9,n
explore,,8,n
export,,7,
exposed,,8,adj
expression,,9,An idiomatic expression. She had a sad expression on her face.
extended,,8,adj
extension,,8,adj
facilitate,,9,
facility,,8,
fact,,6,
factor,,7,
factory,,8,
fail to do sth,,7,I failed to complete the assignment on time. He failed to turn up.
failure,,8,
faithful,,8,adj
faithfully,,9,adj
fall (= autumn),,7,
familiar,,8,
fan,,6,She's a great fan of classical music.
farm,,6,n
farmer,,7,n
fashion,,8,adj
fashionable,,9,adj
favor,,7,adj
favorable,,8,adj
feel,,6,n
feeling,,8,n
feminine,,8,adj
figure out sth/sb,,7,
figure sth/sb out,,7,
financial,,8,n
findings,,8,
fire,,6,
firm,,6,
flexibility,,9,n
flexible,,8,n
flight,,7,The flight to New York is late.
focus,,7,
folk,,6,Folk music. They are nice folk.
fond of,,7,
for good,,8,
for life,,8,
for long,,8,
for some time,,8,
for the moment,,8,
for the sake of,,8,
formal,,7,adv
formality,,8,
formally,,8,adv
format,,7,
formula,,8,n
formulate,,8,n
forum,,7,
fraction,,8,
framework,,8,
France,,7,n+adj
free from,,7,
freedom,,8,n
French,,7,n+adj
frequency,,8,adv
frequent,,8,adv
from time to time,,7,
full-time,,7,
fully,,7,
functional,,9,adj
fundamentally,,9,adv
further,,8,Further research is needed. We don't need to look further.
gain,,6,
gate,,6,
generally,,8,
generation,,9,
gentleman,,8,
geographic,,9,adj
geography,,8,adj
German,,7,n
Germany,,8,n
get away with,,7,He cheated and got away with it.
get into,,7,He got into University.
get it,,7,I just don't get it.
get on sb nerves,,7,
get on with,,7,She gets on well with her neighbors.
get out,,7,Don't get out before I park the car.
get over,,7,She couldn't get over her disappointment.
get through,,7,
get to,,7,I'm worried where they got to they're very late.
give back sth / give sth back,,7,
give out sth / give sth out,,7,Please give out the books to the students.
globalization,,9,adv
globally,,8,adv
go for it!,,7,
go for sth,,7,You should go for the auditions as you are good at singing.
go into,,7,We'll go into details later.
go off,,7,"They stayed for a while, and then went off. The milk wasn't fresh and went off quickly."
go over,,7,Please go over your work before you submit it.
go through,,7,
goal,,6,
gold,,6,adj
golden,,7,adj
good for you!,,7,
govern,,7,
greatly,,8,
group,,7,
growth,,7,
guess,,7,
guest,,7,
guidance,,8,n
guide,,7,n
guidelines,,9,n
gun,,6,
hand out sth / hand sth out,,7,
hand over sth/sb / hand sth/sb over,,7,
hang on,,7,Hang on it won't take long!
hardware,,8,
head,,6,She is the head of the company. He headed the investigation. We headed home.
hearing,,8,My hearing is not too good.
heaven,,7,
hell,,6,
hence,,7,
hero,,6,n
heroine,,8,n
hierarchy,,9,
highly,,7,
hill,,6,
historical,,9,adv
historically,,9,adv
hold back sth / hold sth back,,7,He held back his tears.
hold on,,7,hold on a minute I am not ready!
hold up sb/sth / hold sb/sth up,,7,
hole,,6,
homemaker,,8,Housewife or househusband
hopeful,,8,adv
hopefully,,8,adv
horizontal,,9,
horse,,6,
host,,6,
how come,,7,
How/What about?,,7,
human,,7,n
human being,,7,
humanities,,9,
hypothesis,,9,
I suppose (so),,7,
I'm afraid,,7,I'm afraid you're wrong
i.e.,,6,
I/you/he etc. had better do sth,,7,You'd better see a doctor.
ice,,6,
idealism,,8,adv
idealist,,8,adv
ideally,,8,adv
identical,,8,
identification,,9,
if only,,7,
if so,,7,
if you like,,7,
ignorance,,8,adj
ignorant,,8,adj
illness,,8,
illustration,,9,n
imagery,,8,
immediate,,8,
immigrate,,8,n
immigration,,9,n
immoral,,8,
implement,,8,v
implementation,,9,v
implication,,9,v
implicit,,8,
importance,,9,
impression,,9,adj
impressive,,9,adj
improvement,,9,
in a way,,8,
in advance,,8,
in agreement,,8,
in case of sth,,8,
in detail,,8,
in favor of,,8,
in full,,8,
in itself,,8,The book wasn't interesting in itself but the illustrations were good.
in need of,,8,
in part,,8,
in practice,,8,In practice the rules have had a positive effect.
in public,,8,
in relation to,,8,Buying a house is expensive in relation to income. We have questions in relation to your decision.
in return (for),,8,
in short,,8,
in sth terms/in terms of sth,,8,In political terms the move was a failure.
in that case,,8,
in the first place,,8,Why didn't you say so in the first place.
in the form of sth,,8,
in the light of sth,,8,In light of the new information....
in the long run,,8,
in the meantime,,8,
in this respect/in many respects,,8,
in view of,,8,
in/by contrast,,7,
in/with regard to,,7,
inaccurate,,9,
inactive,,8,
inadequate,,9,
incentive,,8,
incidentally,,9,adv
including,,8,
increasingly,,9,
index,,7,
India,,7,n+adj
Indian,,7,n+adj
indication,,9,n
indicator,,8,n
indirect,,8,
individually,,9,
industry,,8,adj
inevitable,,9,adv
inevitably,,9,adv
inferior,,8,
informal,,8,
infrastructure,,9,
inherent,,9,adv
inherently,,9,adv
initially,,8,adv
injured,,8,adj
injury,,7,adj
innovation,,9,
inquiry (enquire,,7,n
insight,,8,
instantly,,8,adv
institute,,8,n
insurance,,8,v
insure,,7,v
integrate,,8,n
integration,,9,n
integrity,,9,
intellectual,,9,
intelligence,,9,(military)
intend,,7,n
intensive,,8,adj
interaction,,9,n
interactive,,9,n
interest,,8,This topic raises a lot of interest. I invested the money in order to earn interest.
interpret,,8,n
interpretation,,9,n
intervention,,9,
introduction,,9,n
invention,,8,
invest,,7,n
investigation,,9,n
involvement,,9,
iron,,6,This tool is made of iron.
irresponsible,,9,
Islam,,7,
it would appear (that),,7,
it's a good thing,,7,
Japan,,7,adj+n
Japanese,,8,adj+n
joint,,7,"We worked together, it was a joint project."
journal,,8,
journalism,,9,n
journalist,,9,n
Judaism,,8,
jump,,6,
just,,6,n
just about,,7,
just as,,7,Just as I was leaving.... Her painting was just as good as his.
justice,,8,n
justify,,8,
keep on doing sth,,7,
keep up sth / keep sth up,,7,
kill,,6,
king,,6,n
kingdom,,8,n
kit,,6,
kitchen,,6,
knee,,6,
knowledge,,8,
lack,,6,
landscape,,8,
last,,6,
laughter,,8,
law,,6,n
lawyer,,7,n
leadership,,9,
leaf,,6,The leaf on a tree.
leg,,6,
legally,,8,adv
length,,7,
let alone,,7,He can't take care of his pet dog let alone a baby!
level,,7,
lift,,6,I need a lift to Jerusalem.
light,,7,
line up (sb/sth) / line (sb/sth) up,,7,Please line up to get your certificates.
lips,,6,
list,,6,
literary,,8,adj
location,,8,n
logical,,8,adj
long term/in the long term,,7,
long-term,,7,
look down on sb,,7,
look out for sb/sth,,7,
Look out!,,7,
look(s),,8,
lovely,,7,
lower,,7,
luckily,,8,
madam,,7,
made up of,,7,
maintenance,,9,n
majority,,8,n
make a (big) difference,,7,
make no difference,,7,
make out sth / make sth out,,7,Could you make out his meaning?
make up,,7,She made up her face with new make-up
Make up one's / your mind,,7,
make up one's mind / make your mind up,,7,
make up sth / make sth up,,7,I made up a story
make use of,,7,
make-up,,7,She made up her face with new make-up
manage,,7,n
management,,9,n
manager,,8,n
manners,,8,
manufacture,,9,
marketing,,8,n
married,,8,adj
masculine,,8,adj
master,,7,
mean,,6,A statistical mean; the mean result. He's really mean I don't like him.
measure,,8,n
measurement,,9,n
mechanism,,8,
medicine,,8,n
membership,,9,
mental,,7,adv
mentally,,8,adv
mere,,6,adj
method,,7,
mile,,6,
minimize,,8,v
minister,,8,n
mirror,,7,
miss,,6,I missed the train. I miss my mother very much.
mobile,,7,I have a new mobile (phone). (British English for American 'cellphone')
mode,,6,
modification,,9,n
modify,,7,n
monitor,,8,
moral,,7,n
morality,,8,n
mostly,,7,
motivation,,9,v
motive,,7,v
motor,,7,
move on,,7,
movement,,8,
multiply,,8,v
municipal,,8,n
municipality,,9,n
mutual,,7,adv
mutually,,8,adv
natural,,8,adv
naturally,,8,adv
nearly,,7,
necessarily,,9,n
necessity,,8,n
neck,,6,
negative,,8,
negotiation,,9,n
net,,6,Net income
never heard of sb/sth,,7,
next door (adv),,7,"next-door neighbor, the flat next door"
next-door (adj),,7,"next-door neighbor, the flat next door"
no such thing,,7,
no wonder,,7,
nonetheless,,9,
norm,,6,
normally,,8,
northern,,8,
not make any difference,,7,
nothing but,,7,
notion,,7,
novel,,7,
now and then,,7,
nuclear,,8,
nurse,,7,
objection,,8,n
oblige,,7,n
observe,,8,n
obviously,,8,adv
occasionally,,9,
occupation,,9,n
ocean,,7,
offence,,8,n
offender,,8,n
officer,,8,adj
officially,,9,adj
old fashioned,,7,
on and off,,8,
on average,,8,
on behalf of,,8,
on board,,8,There were 500 passengers on board.
on the contrary,,8,
on the grounds (that/of),,8,I declined the offer on the grounds of my health.
ongoing,,8,
open up sth / open sth up,,7,
opening,,8,The opening of the new theatre.
opposition,,9,n
optional,,8,adj
optionally,,9,adj
or so,,7,ten or so
or something (like that),,7,
organization,,9,
originally,,9,adj
other than,,7,
otherwise,,8,
out of,,7,The table is made out of wood. Out of all the people I saw today I enjoyed seeing the most!
out of date,,7,
overall,,8,
owing to,,7,
own,,6,n
owner,,7,n
p.m.,,6,
package,,8,
paint,,7,n
painter,,8,n
painting,,8,n
part,,6,adj
part-time,,7,
partial,,8,adj
participation,,9,n
particularly,,9,
partly,,7,
pass away,,7,
pass on sth / pass sth on,,7,Please pass on this message as soon as you can.
pay attention (to sth),,7,
pay off,,7,We paid off our debts at last! His efforts paid off.
pay off sth / pay sth off,,7,We paid off our debts at last! His efforts paid off.
payment,,8,n
peace,,7,adj
peaceful,,8,adj
peacefully,,9,adj
pepper,,7,
per,,6,
percent,,8,n
percentage,,9,n
perception,,9,n
performance,,9,n
period,,7,
permanently,,9,adv
permission,,9,n
person),,8,She was chair of the committee.
personal,,8,adv
phenomena,,8,n
physics,,8,
pilot,,7,
planet,,7,
planning,,8,
plant,,7,
plastic,,8,
player,,7,n
pleasure,,8,It's a pleasure! (response to thanks)
pocket,,7,
point,,7,
point out sth / point sth out,,7,
political,,8,n
politician,,9,n
pool,,6,A pool of water. A pool of resources.
population,,9,
positive,,8,adv
positively,,9,adv
possession,,9,n
possessive,,9,n
possibility,,9,n
possibly,,8,n
post,,6,We posted our responses on the forum. I posted my letter. (British)
practically,,9,
precisely,,8,adv
prediction,,9,n
president,,8,
pretty,,7,
prevent,,8,n
prevention,,9,n
previously,,9,adv
pride,,7,
prior to,,7,
prisoner,,8,n
probability,,9,n
probable,,8,n
problematic,,9,
product,,8,n
professional,,9,adj
profile,,8,
profitable,,9,adj
progressive,,9,adj
promote,,8,
promotion,,8,
properly,,8,
protection,,9,
provided that,,7,
psychology,,9,adj
pull,,6,
put down sth / put sth down,,7,Put down your bags and come in.
put forward sth / put sth forward,,7,The students have put forward a proposal to shorten the term.
put off sth / put sth off,,7,
put on sth / put sth on,,7,
put sth together / put together sth,,7,
put up sb/put sb up,,7,Can you put me up overnight?
put up with,,7,I won't put up with this nonsense!
quality,,8,
quantity,,8,
racial,,7,adj
racism,,7,adj
radical,,8,
random,,7,
rapidly,,8,adv
ratio,,7,
rationale,,8,
reaction,,8,n
readily,,8,
receipt,,8,
recommendation,,9,n
recovery,,8,n
recruitment,,9,n
reduction,,8,n
refer to,,7,"He referred to his parents as ""my folks""."
reflection,,9,n
regardless (of),,7,
regional,,8,adj
rejection,,8,n
relate(d) to sb/sth,,7,Many youngsters can't relate to old people.
relationship,,9,
relevance,,8,n
relieved,,8,adj
rely on/upon,,7,
representation,,9,n+adj
required,,8,adj
reside,,7,v
resident,,8,v
residential,,9,v
resistance,,9,n
resolution,,9,n
respectively,,9,
result in,,7,
revision,,8,n
revolutionary,,9,adj
rock,,6,We climbed up to the rock at the top of the mountain.
roll,,6,The ball rolled into a corner. A bread roll.
roof,,6,
run into,,7,I ran into him the other day which was a nice surprise.
run out (of),,7,We ran out of paper
run over,,7,The car ran over the dog.
Russia,,7,adj+n
Russian,,8,adj+n
safety,,7,
salary,,7,
sample,,7,
sanctions,,8,
satisfaction,,9,n
satisfy,,8,n
scale,,7,"Large-scale, small-scale"
scenario,,8,
scene,,7,
scenery,,8,
scheme,,7,
scientific,,9,adj
scientist,,8,adj
screen,,7,
secondly,,8,She was introduced first of all as a brilliant scientist and secondly as a composer.
section,,8,
sector,,7,
secure,,7,n
security,,8,n
seek,,6,
select,,7,n
selection,,8,n
senior,,7,
sensitive,,8,n
sensitivity,,9,n
separate,,8,n
separation,,9,n
sequence,,8,
series,,7,
seriously,,8,
servant,,8,
set off,,7,They set off on their journey.
set out,,7,They set out at sunrise
set out / set out sth / set sth out,,7,The teacher set out the rules on the first day of class.
setting,,8,
settle,,7,n
settle down,,7,
settlement,,9,n
severe,,7,adv
severely,,8,adv
shadow,,7,
shake,,7,Shake hands.
shake hands,,7,
shake your head,,7,He shook his head in disagreement.
share,,7,
ship,,6,
short of sth,,7,He was short of time.
short term/in the short term,,7,
short-term,,7,
shot,,6,
shoulder,,8,
show up,,7,She showed up earlier than expected.
shut (sb) up,,7,You're talking too much: shut up!
shut down (sth) / shut down (sth),,7,We shut down the computer.
sight,,7,
signal,,7,
significance,,9,adv
significant,,9,adv
significantly,,9,adv
sir,,6,
skill,,7,adj
skilled,,8,adj
slight,,7,adv
slightly,,8,adv
slip,,6,He slipped and fell. I made a slip in spelling.
slow down,,7,
so as to,,7,
so-called,,7,His so-called friends didn't help him.
software,,8,
soldier,,8,
sole,,6,adv
solely,,7,adv
solution,,8,
somehow,,8,
somewhat,,8,
somewhere,,8,
soul,,6,
source,,7,
southern,,8,
spatial,,8,
specialize,,9,
specifically,,9,adj
specify,,8,adj
speech,,7,
spirit,,7,adj
spiritual,,8,adj
spot,,6,
spread,,7,
stable,,7,
stairs,,7,
stand for,,7,UN stands for United Nations
stand out,,7,
stand up for sb/sth,,7,
stand up to sb/sth,,7,
stare,,7,
start out,,7,
statistics,,9,
status,,7,
steal,,7,
steel,,7,
stereotype,,9,
stimulate,,8,
stock,,7,
stone,,7,
storm,,7,
straight away,,7,
strategic,,8,adj
strategy,,8,adj
strength,,8,v
strengthen,,9,v
stress,,7,adj
stressful,,8,adj
stretch,,8,
strongly,,8,
structure,,8,
struggle,,8,
studio,,7,
subjective,,9,
subsequent,,9,adv
subsequently,,9,adv
substance,,8,
substantial,,9,
success,,8,adj
successful,,9,adj
successfully,,9,adj
such as,,7,
suffer,,7,n
suffering,,8,n
sufficient,,9,adv
sufficiently,,9,adv
sugar,,6,
suitable,,8,adj
sum,,6,
sum up sth/sb / sum sth/sb up,,7,
summarize,,8,n
summary,,8,n
supply,,7,
supposed to do/be sth,,7,You were supposed to be ready at six o'clock.
surely,,7,
surface,,8,
surgery,,8,"He had surgery, but is recovering well. I went to the surgery to consult the doctor."
surround,,8,n
surroundings,,9,n
survey,,7,
survival,,8,n
survive,,8,n
suspect,,8,
sustain,,8,
symbol,,7,
system,,7,The education system. We have a new system of grading exams.
take advantage of sth/sbd,,7,I took advantage of my free time to catch up on work. You shouldn't take advantage of someone's weakness.
take back sth / take sth back,,7,
take for granted,,7,
take off,,7,The plane took off (fly). I took off my hat (remove).
take on sb/take sb on / take on sth / take sth on,,7,We took on too much work. We took too much work on ourselves.
take over sth/take sth over,,7,
take turns,,7,
take up sth/take sth up,,7,It takes up too much time. She took up dancing.
target,,7,
task,,6,
teaching(s),,9,The teachings of Socrates.
tear,,6,To tear a piece of paper.
technical,,8,
technique,,8,
technological,,9,adj
temperature,,9,
temporarily,,9,adv
temporary,,8,adv
tendency,,8,
terms,,7,The terms of the agreement.
territory,,8,
that sort of thing,,7,
that's it,,7,
the idea of,,7,
the main thing,,7,
the other day/week,,7,
the other way round/around,,7,
the thing is...,,7,
theater,,8,
theme,,7,
theory,,7,
thereby,,9,
these days,,7,
things like that,,7,
think over sth or think sth over,,7,
threat,,7,v
threaten,,8,v
throw up,,7,If you eat too much chocolate you might throw up.
thus,,6,
tie,,6,
tiny,,6,
tip,,6,Give a good tip. The tip of an iceberg. Give the waiter a tip.
to blame,,7,
to date,,7,
to some extent/to a certain extent,,7,
tone,,6,A tone of voice. A telephone ring-tone.
tooth,,6,
totally,,8,
tough,,7,
track,,7,We walked along the track. Please play the first track on the disk.
traditional,,9,adj
traditionally,,9,adj
transfer,,8,
transform,,8,
transmit,,8,
transportation,,9,n
trek,,6,
trend,,7,
trial,,7,
troops,,7,
truly,,7,
truth,,7,
turn (sth) back,,7,
turn down sb/sth / turn sb/sth down,,7,She proposed marriage and he turned her down.
turn down sth / turn sth down,,7,Please turn down the volume. Please turn it down.
turn off sth / turn sth off,,7,
turn on sth / turn sth on,,7,
turn out,,7,Everything turned out well. We were turned out of our house.
turn sb/sth into sb/sth,,7,The frog turned into a prince. The witch turned the prince into a frog.
turn to,,7,She had nobody to turn to for help.
turn up,,7,He turned up unexpectedly.
turn up sth / turn sth up / turn up (somewhere),,7,Please turn up the volume. Please turn it up.
twice,,7,
typical,,8,adv
typically,,8,adv
unable,,7,
unemployed,,9,n
unemployment,,9,n
unfortunately,,9,
union,,7,
unique,,7,
unite,,7,adj
united,,7,adj
universal,,8,adj
universe,,8,adj
university,,9,
unlikely,,8,
up and down,,7,The children were running up and down the hall.
up to date,,7,
up to date / out of date,,7,
upper,,7,
urban,,7,
user,,6,n
valid,,7,
valuable,,8,adj
value,,7,adj
variation,,8,n
varied,,7,adj
variety,,8,n
various,,8,adj
vary,,6,adj
vehicle,,8,
version,,8,
vertical,,8,
via,,6,
victim,,7,
victory,,8,
video,,7,
violence,,8,n
violent,,8,n
virtual,,8,adv
virtually,,8,adv
virtue,,7,
visible,,8,
vision,,7,He is a man of vision. Her vision is poor.
visitor,,8,
vital,,7,
volume,,7,The volume was very loud. What is the volume of a cube?
voluntary,,8,
volunteer,,8,
vote,,6,n
voter,,7,n
weak,,6,n
weakness,,8,n
weapon,,7,
weekend,,8,
welfare,,8,
wellbeing,,8,
western,,8,
whereas,,8,
Who cares?!,,7,
whom,,6,
wicked,,7,
widely,,7,
width,,7,
wild,,6,
will,,6,Where there's a will there's a way.
willing,,8,
wine,,6,
wing,,6,The wing of a bird.
winner,,7,
with a view to doing sth,,8,
with respect to,,8,
withdraw,,8,
witness,,8,
woman,,7,She was chair of the committee.
work out,,7,I work out at the gym three times a week.
workshop,,8,
worth sth/doing sth,,7,
Would you like...?,,7,
write sth down or write down sth,,7,
writer,,7,
yard,,6,The yard behind a house.
youth,,7,I remember my youth. The youth of today.
zone,,6,
