English Word,Hebrew Translation,Difficulty Level,Source,Example Sentence
ancient,עתיק,8,band33july18,
and so on,וכן הלאה / וכדומה,7,band22,"Bring pens, pencils, erasers, and so on."
angry,כועס,6,band22,Why are you angry?
animal,חיה,2,band22,My favorite animal is a dolphin.
announce,להכריז,6,"band22,band33july18",The teacher will announce the winner.
announcement,הודעה / הכרזה,5,"band22,band33july18",The principal made an announcement.
annoy,"להרגיז, להציק",8,lexisband3,The noise really annoys me.
annual,שנתי,7,band33july18,
another,אחר / נוסף,6,band22,Would you like another cookie?
answer,תשובה,2,band22,I don't know the answer.
anxiety,חרדה,8,band33july18,n
anxious,"מודאג, חרד",8,"lexisband3,band33july18",She felt anxious before the exam.
any,כלשהו,6,band22,Do you have any questions?
"any day/minute/time, etc now",בכל רגע,9,lexisband3,They'll arrive any minute now.
any place,בכל מקום,4,band22,You can sit at any place.
any time,בכל זמן,4,band22,"We use ""any time"" in English."
anybody,מישהו / כל אחד,8,band33july18,
anymore,כבר לא,6,"band22,band33july18","We use ""anymore"" in English."
anyone,כל אחד,6,band22,"We use ""anyone"" in English."
anything,כל דבר,6,band22,"We use ""anything"" in English."
anyway,בכל מקרה,6,"band22,band33july18","We use ""anyway"" in English."
anywhere,בכל מקום,6,band22,I can't find it anywhere.
apart,בנפרד,6,band22,"We use ""apart"" in English."
apart from,מלבד / חוץ מ,6,band22,Everyone came apart from Tom.
apartment,דירה,6,band22,They live in a small apartment.
apologize,להתנצל,6,band22,You should apologize for being rude.
apparent,"ברור, נראה לעין",8,"lexisband3,band33july18",It was apparent that he was lying.
apparently,כנראה,9,band33july18,adv
appeal,"לערער, ערעור",9,lexisband3,They appealed to the court.
appear,להופיע,6,band22,"Suddenly, a rabbit appeared."
appearance,מראה / הופעה,6,band22,Don't judge people by their appearance.
apple,תפוח,1,band22,An apple a day keeps the doctor away.
application,יישום / בקשה,9,band33july18,
apply to,להגיש בקשה / לחול על,6,band22,This rule applies to everyone.
appreciate,להעריך,9,band33july18,n
appreciation,הערכה,9,band33july18,n
approach,"גישה, דרך",8,"lexisband3,band33july18",We need a different approach to this problem.
appropriate,"מתאים, הולם",8,"lexisband3,band33july18",Please wear appropriate clothing.
approval,אישור,8,band33july18,n
approve,לאשר,8,band33july18,n
approximately,בקירוב,9,band33july18,
Arab,ערבי,4,band22,"We use ""Arab"" in English."
area,אזור,7,band22,"We use ""area"" in English."
argue,להתווכח,7,band22,Don't argue with your sister.
argument,ויכוח / טיעון,5,band22,They had an argument.
arms,נשק,9,lexisband3,The soldiers laid down their arms.
army,צבא,7,band22,"We use ""army"" in English."
around,מסביב,7,band22,Look around you.
around/round the clock,מסביב לשעון,9,lexisband3,The store is open around the clock.
arrange,לסדר,7,band22,Let's arrange the chairs in a circle.
arrangement,הסדר / סידור,6,band22,We made arrangements for the party.
arrive,להגיע,7,band22,"We use ""arrive"" in English."
arrive at,להגיע ל,4,band22,What time will you arrive at the station?
arrow,חץ (בקשתות),9,lexisband3,He shot an arrow at the target.
art,אומנות,7,band22,Art class is fun.
article,מאמר,7,band22,I read an article about space.
artificial,מלאכותי,9,lexisband3,These are artificial flowers.
artificial intelligence,בינה מלאכותית,9,lexisband3,AI is changing our world.
artist,אומן,7,band22,"We use ""artist"" in English."
artistic,אומנותי,8,lexisband3,She has great artistic talent.
as,כמו / כש,7,band22,He works as a teacher.
as a matter of fact,"למעשה, לאמיתו של דבר",8,"lexisband3,band33july18","As a matter of fact, I agree with you."
as a result of,כתוצאה מ,8,band22,"As a result of the rain, the game was canceled."
as a result of sth,כתוצאה מ-,9,lexisband3,"As a result of the rain, the game was cancelled."
as a whole,"כמכלול, בסך הכל",9,"lexisband3,band33july18",The team as a whole performed well.
as far as,עד כמה ש / באשר ל,7,band22,"As far as I know, he left."
as far as I know,למיטב ידיעתי,9,lexisband3,"As far as I know, he's still working there."
as far as sb/sth is concerned,בכל מה שנוגע ל-,9,lexisband3,"As far as I'm concerned, you can go."
as follows,כדלקמן,9,"lexisband3,band33july18",The instructions are as follows.
as for,"בזמן ש-, כאשר",7,band33july18,
as if,כאילו,5,band22,He acts as if he knows everything.
as long as,כל עוד / בתנאי ש,7,band22,You can stay as long as you want.
as regards sth,בנוגע ל-,9,lexisband3,"As regards your question, I'll answer later."
as soon as,ברגע ש / מיד כש,5,band22,Call me as soon as you arrive.
as though,כאילו,9,"lexisband3,band33july18",He acts as though nothing happened.
as usual,כרגיל / כהרגלו,7,band22,"As usual, he was late."
as...as,...כמו,4,band22,She is as tall as her brother.
ashamed,מתבייש,8,lexisband3,He felt ashamed of his behavior.
Asian,אסיאתי,7,band33july18,
aside,"בצד, חוץ מ-",9,lexisband3,"Money aside, I really enjoy my job."
ask,לשאול,2,band22,May I ask you a question?
asleep,ישן (תואר),7,band22,The baby is asleep.
aspect,היבט,7,band33july18,
aspiration,שאיפה,9,band33july18,n
aspire,לשאוף,7,band33july18,n
assessment,הערכה,7,band22,The teacher gave us an assessment.
assignment,"מטלה, משימה",9,"lexisband3,band33july18",Finish your assignment by Friday.
assist,לסייע,7,band33july18,n
assistance,סיוע,9,band33july18,n
assistant,עוזר,7,band22,"We use ""assistant"" in English."
associate,"לשייך, לקשר",9,"lexisband3,band33july18",I don't associate him with that group.
association,אגודה / קשר,9,band33july18,n
assume,להניח,7,"band22,band33july18","We use ""assume"" in English."
assumption,"הנחה, הנחת יסוד",9,"lexisband3,band33july18",Your assumption is correct.
assure,"להבטיח, להרגיע",8,lexisband3,I assure you that everything will be fine.
astonishment,"תדהמה, השתוממות",9,lexisband3,She looked at him in astonishment.
at,ב (מקום/זמן),7,band22,I'll meet you at the school.
at a time,בפעם אחת,8,band33july18,two at a time
at fault,אשם,8,lexisband3,The driver was at fault for the accident.
at first,בהתחלה / תחילה,5,band22,"At first, I didn't like the book."
at first sight,במבט ראשון,9,"lexisband3,band33july18","At first sight, it seems easy."
"at his/its, etc. best",במיטבו,8,lexisband3,The team was at its best today.
at last,סוף סוף / לבסוף,6,band22,"At last, we arrived home."
at least,לפחות,8,lexisband3,You should study at least two hours a day.
at once,מיד / בבת אחת,7,band22,Come here at once!
at present,כרגע / בהווה,7,band22,"At present, I am studying English."
at risk,בסיכון,9,"lexisband3,band33july18",The building is at risk of collapse.
at the expense of,על חשבון,8,band33july18,
at the same time,באותו זמן / בו זמנית,7,band22,They arrived at the same time.
at times,לעיתים,8,band33july18,
at work,בעבודה / פועל,7,band22,Dad is at work right now.
at your convenience,"בנוחותך, בזמנך",9,lexisband3,Call me at your convenience.
atmosphere,"אווירה, אטמוספרה",8,lexisband3,There was a friendly atmosphere at the party.
attach,לצרף,7,band33july18,v
attached to sb or sth,מחובר ל,7,band33july18,
attachment,קובץ מצורף,9,"lexisband3,band33july18",Please see the attachment.
attack,לתקוף,7,"band22,band33july18",The dog might attack if scared.
attempt,ניסיון / לנסות,8,band33july18,
attend,להשתתף,7,band33july18,n
attendance,נוכחות,9,band33july18,n
attention,תשומת לב,7,band22,Pay attention in class.
attitude,גישה / יחס,8,band33july18,
attract,למשוך,8,band33july18,n
attract/get (sb's) attention,למשוך תשומת לב,9,lexisband3,The bright colors attract attention.
attraction,"אטרקציה, משיכה",8,"lexisband3,band33july18",The museum is a major attraction.
attractive,מושך,7,"band22,band33july18","We use ""attractive"" in English."
audience,קהל,7,"band22,band33july18","We use ""audience"" in English."
augmented reality,מציאות מדומה,9,lexisband3,AR games are very popular.
august,אוגוסט,7,band22,"We use ""august"" in English."
aunt,דודה,7,band22,"We use ""aunt"" in English."
authentic,אותנטי / אמיתי,8,band33july18,
author,מחבר / סופר,7,"band22,band33july18","We use ""author"" in English."
authority,סמכות,8,band33july18,A boss has authority over the workers. She is an authority on sociology.
automatically,"אוטומטית, מאליו",8,lexisband3,The door closes automatically.
autonomous,אוטונומי,9,band33july18,adj
autonomy,"אוטונומיה, עצמאות",9,"lexisband3,band33july18",The region has some autonomy.
autumn,סתיו,7,band22,The leaves fall in autumn.
availability,זמינות,9,lexisband3,Check the availability of the product.
available,זמין,7,band22,Is this seat available?
average,ממוצע,7,"band22,band33july18","We use ""average"" in English."
avoid,להימנע,7,"band22,band33july18",Try to avoid making noise.
avoid doing sth,להימנע מלעשות משהו,9,lexisband3,Try to avoid making mistakes.
awake,ער,7,band22,Are you awake?
award,פרס,7,"band22,band33july18",She won an award for her painting.
aware,מודע,7,band22,Are you aware of the problem?
awareness,מודעות,8,lexisband3,We need to raise awareness about this issue.
away,הרחק,7,band22,He lives far away from here.
awful,נורא,7,band22,What awful weather!
awkward,"מביך, לא נוח",9,lexisband3,There was an awkward silence.
baby,תינוק,2,band22,The baby is sleeping.
back,גב / אחורה,7,"band22,band33july18",My back hurts.
back up,לגבות / לתמוך,7,band33july18,He backed up his friend. Make sure you back up your work on the computer.
back up sb/sth / back sb/sth up,לגבות / לתמוך במישהו/משהו,7,band33july18,
background,רקע,7,"band22,band33july18","We use ""background"" in English."
backup,גיבוי,9,lexisband3,Always make a backup of your files.
bad,רע,3,band22,That's a bad idea.
badly,באופן קשה / מאוד (בהקשר שלילי),6,scrap,He plays badly.
bag,תיק,3,band22,Put your books in your bag.
baggage,מטען,7,band22,"We use ""baggage"" in English."
bake,לאפות,7,band22,Let's bake cookies together.
balance,שיווי משקל; יתרה,9,"lexisband3,band33july18",Check your bank balance.
ball,כדור,2,"band22,band33july18",Throw the ball to me.
ban,"איסור, לאסור",9,"lexisband3,band33july18",There's a ban on smoking here.
banana,בננה,2,band22,I eat a banana for breakfast.
band,להקה,7,"band22,band33july18",The band played some music.
bank,בנק,7,"band22,band33july18",Put your money in the bank.
bank account,חשבון בנק,8,lexisband3,I opened a new bank account.
bar,בר / חפיסה,7,"band22,band33july18",A bar of chocolate. A bar of a cage. We bought some orange juice at the bar.
bare,"חשוף, ריק",9,lexisband3,The walls were bare.
barely,בקושי,8,"lexisband3,band33july18",I could barely see in the dark.
bargain,"מציאה, עסקה",8,lexisband3,This coat is a real bargain.
barrier,"מחסום, מכשול",8,"lexisband3,band33july18",Language can be a barrier to communication.
base,בסיס,7,band22,The story is based on real events.
based on,מבוסס על,5,band22,This movie is based on a true story.
basement,מרתף,9,lexisband3,The basement is very dark.
basic,בסיסי,7,band22,These are the basic rules.
basically,בעיקרון,8,band33july18,
basis,בסיס / יסוד,6,band22,Exercise should be part of your daily basis.
bath,אמבטיה,7,band22,"We use ""bath"" in English."
bathroom,חדר שירותים,7,band22,"We use ""bathroom"" in English."
battery,סוללה,7,band22,"We use ""battery"" in English."
battle,קרב,7,"band22,band33july18",The battle lasted three days.
bay,מפרץ,8,lexisband3,The ship sailed into the bay.
be (just) about to do sth,"עומד ל-, בדיוק הולך ל-",8,lexisband3,I'm just about to leave.
be (of) any/some/no use,להועיל,9,lexisband3,Is this of any use to you?
be a bad/good influence (on sb),להשפיע לרעה/לטובה,9,lexisband3,Friends can be a good influence.
be a piece of cake,להיות קל מאוד,9,lexisband3,The exam was a piece of cake.
be able to do sth,להיות מסוגל לעשות משהו,7,band33july18,
be absorbed in sth,להיות שקוע ב-,9,lexisband3,He was absorbed in his book.
be associated with sth,להיות קשור ל-,9,lexisband3,Smoking is associated with cancer.
be at/on the point of doing sth,להיות על סף,9,lexisband3,I was on the point of leaving.
be based at/in/etc,להיות ממוקם ב-,9,lexisband3,The company is based in London.
be conscious of/that,להיות מודע ל-,9,lexisband3,I'm conscious of my mistakes.
be expecting (a baby),להיות בהריון,8,lexisband3,They're expecting their first baby.
be exposed to sth,להיחשף ל-,9,lexisband3,Children shouldn't be exposed to violence.
be hard on sb,להיות קשה עם מישהו,9,lexisband3,Don't be so hard on yourself.
be in a mood,להיות במצב רוח,9,lexisband3,She's in a bad mood today.
be in charge,להיות אחראי,8,lexisband3,Who is in charge here?
be in favor of sth,להיות בעד משהו,9,lexisband3,I'm in favor of the proposal.
be likely to,סביר ש / צפוי ל,7,band22,They are likely to win.
be no good / be not any/much good,לא להיות טוב,7,band33july18,
be out of sth,להיגמר ממשהו,8,lexisband3,We're out of milk.
be responsible for sth/doing sth,להיות אחראי ל-,8,lexisband3,She is responsible for the project.
"be situated in/on/by, etc",להיות ממוקם ב-,8,lexisband3,The hotel is situated near the beach.
be the case,להיות המצב,7,band33july18,That is not the case it's not true
be used to,רגיל ל,8,band22,I am used to waking up early.
beach,חוף,7,"band22,band33july18",Let's build a sandcastle at the beach.
bear,לשאת / דוב,6,band33july18,I can't bear it!
bear/keep in mind,לזכור / לקחת בחשבון,7,band33july18,
beat,להביס / להכות,7,band22,Our team beat them 3-1.
beautiful,יפה,3,band22,What a beautiful day!
beauty,יופי,7,"band22,band33july18","We use ""beauty"" in English."
because,בגלל,3,band22,I stayed home because I was sick.
become,להפוך ל,7,band22,I want to become a doctor.
bed,מיטה,2,band22,Make your bed every morning.
Bedouin,בדואי,4,band22,"We use ""Bedouin"" in English."
bedroom,חדר שינה,2,band22,My bedroom is upstairs.
Beduin,בדואי,4,band22,"We use ""Beduin"" in English."
before,לפני,3,band22,Wash your hands before dinner.
begin,להתחיל,3,band22,Let's begin the lesson.
beginning,התחלה,7,"band22,band33july18","We use ""beginning"" in English."
behave,להתנהגות,7,band22,Please behave nicely at dinner.
behavior,התנהגות,7,band22,Good behavior is important.
behind,מאחורי,7,band22,The cat is hiding behind the sofa.
belief,אמונה,7,"band22,band33july18",Everyone has their own beliefs.
believe,להאמין,7,band22,I believe you can do it.
believe in sth,להאמין במשהו,8,lexisband3,I believe in working hard.
believe it or not,תאמין או לא,8,lexisband3,"Believe it or not, he won the lottery."
bell,פעמון,7,band22,The bell rings at 3 o'clock.
belong,להשתייך,7,band22,"We use ""belong"" in English."
belong to,להשתייך ל,5,band22,This book belongs to me.
below,מתחת,7,band22,The fish swam below the surface.
belt,חגורה,7,band22,Fasten your seat belt.
bench,ספסל,8,lexisband3,Let's sit on that bench.
bend,"לכופף, לעקם",8,lexisband3,Bend your knees when you lift.
beneath,מתחת,8,band33july18,
beneficial,מועיל,9,band33july18,adj
benefit,תועלת / להרוויח,8,band33july18,adj
beside,לצד,7,band22,Sit beside me.
besides,"מלבד, בנוסף",8,lexisband3,"Besides English, she speaks Spanish."
best,הכי טוב,7,band22,She's my best friend.
better,יותר טוב,7,band22,I feel better today.
better off,במצב טוב יותר,7,band33july18,
between,בין,7,band22,The secret is between you and me.
beyond,מעבר ל,7,band22,The mountains are beyond the river.
bias,הטיה / דעה קדומה,6,band33july18,
bicycle,אופניים,7,band22,I ride my bicycle to school.
big,גדול,1,band22,That's a big house.
bike,אופניים,7,band22,Let's go for a bike ride.
bill,חשבון (לתשלום),7,"band22,band33july18",Pay the bill. A dollar bill.
billion,מיליארד,8,band33july18,
bind,לקשור,6,band33july18,
biological,ביולוגי,9,band33july18,adj
biology,ביולוגיה,7,"band22,band33july18","We use ""biology"" in English."
bird,ציפור,2,"band22,band33july18",A bird is building a nest in the tree.
birth,לידה,7,band22,"We use ""birth"" in English."
birthday,יום הולדת,2,band22,Happy birthday!
bit,קצת,7,band22,"We use ""bit"" in English."
bite,לנשוך,7,band22,My dog doesn't bite.
bitter,"מר, מריר",8,lexisband3,The medicine tastes bitter.
black,שחור,1,band22,I want the black shoes.
blackboard,לוח,7,band22,"We use ""blackboard"" in English."
blame,להאשים / אשמה,6,band22,Don't blame me for this.
blanket,שמיכה,7,band22,This blanket is warm and soft.
blind,עיוור,7,band22,"We use ""blind"" in English."
block,לחסום / גוש,7,"band22,band33july18","We use ""block"" in English."
blood,דם,7,band22,The nurse took a blood sample.
blow,לנשוף,7,band22,The wind blows strongly today.
blow up,להתפוצץ / לנפח,7,band33july18,The children blew up the balloons for the birthday party. The blew up the old building with dynamite
blow up (sth/sb),לפוצץ,8,lexisband3,They blew up the old building.
blue,כחול,1,band22,The sky is blue.
boat,סירה,7,band22,We went fishing in a small boat.
body,גוף,2,band22,Your body needs rest.
boiled,"מבושל, רתוח",8,lexisband3,Would you like a boiled egg?
bold,"נועז, אמיץ",8,"lexisband3,band33july18",It was a bold decision.
bond,"קשר / אג""ח",6,band33july18,
bone,עצם,7,"band22,band33july18",He broke a bone in his leg.
book,ספר,1,band22,This book is very interesting.
boot,מגף,7,band22,"We use ""boot"" in English."
border,גבול,7,band22,We crossed the border into Jordan.
bored,משועמם,7,band22,"We use ""bored"" in English."
boring,משעמם,7,band22,"We use ""boring"" in English."
born,נולד,7,band22,I was born in 2012.
borrow,ללוות,7,band22,Can I borrow your pen?
boss,בוס,7,band22,"We use ""boss"" in English."
both,שניהם,7,band22,Both answers are correct.
both...and,גם... וגם,4,band22,She speaks both English and French.
bother,להטריד,7,band22,"Don't bother me now, I'm busy."
bottle,בקבוק,3,band22,Drink the whole bottle of water.
bottom,תחתית,7,band22,The answer is at the bottom of the page.
bound to,בטוח ל / חייב ל,7,band33july18,It's bound to happen inevitable.
boundary,גבול,8,band33july18,
box,קופסה,2,band22,The box is full of toys.
boy,ילד,1,band22,The boy is playing in the park.
brain,מוח,7,band22,Use your brain to solve problems.
brake,בלם,8,lexisband3,He stepped on the brake.
branch,ענף / סניף,5,band22,The bank has many branches.
brave,אמיץ,7,band22,He was very brave.
bread,לחם,1,band22,Can you buy some bread?
break,הפסקה / לשבור,3,"band22,band33july18",Take a short break! A break in relations.
break down,להתקלקל,7,band33july18,The old car broke down
break off,להפסיק,7,band33july18,We broke off the discussion to have coffee
break out,לפרוץ,7,band33july18,a disease broke out and many people died
break up,להתפרק,7,band33july18,They broke up the meeting.
breakfast,ארוחת בוקר,2,band22,Breakfast is the most important meal.
breast,"חזה, שד",8,lexisband3,Breast cancer awareness is important.
breath,נשימה,7,band33july18,v
breathe,לנשום,8,band33july18,v
breeze,"רוח קלה, בריזה",8,lexisband3,A cool breeze blew from the sea.
brick,לבנה,8,lexisband3,The house is made of brick.
bridge,גשר,7,band22,The bridge crosses the river.
brief,קצר / תדרוך,7,band33july18,adv
briefly,בקצרה,8,band33july18,adv
bright,בהיר,7,band22,The sun is bright today.
brilliant,מבריק,8,band22,She had a brilliant idea.
bring,להביא,3,band22,Please bring your books tomorrow.
bring up,לגדל / להעלות,7,band33july18,The chairperson brought up a new issue. The parents bring up their children.
bring up sb,"לגדל, לחנך",8,lexisband3,She brought up three children alone.
British,בריטי,8,band33july18,The British people. Do you like the British?
broad,רחב,5,band22,"We use ""broad"" in English."
broken,שבור,8,band22,The window is broken.
brother,אח,2,band22,I have one younger brother.
brush,להבריש / מברשת,8,band22,Brush your teeth twice a day.
bucket,דלי,8,lexisband3,Fill the bucket with water.
budget,תקציב,7,band33july18,
bug,"חרק, באג",8,lexisband3,There's a bug in the computer program.
build,לבנות,8,band22,They are building a new school.
building,בניין,8,"band22,band33july18",That building is 50 stories tall.
bull,שור,8,lexisband3,Be careful of the bull in the field.
bunch,"צרור, אשכול",8,lexisband3,I bought a bunch of flowers.
burn,לשרוף,8,"band22,band33july18",Don't burn the toast.
burst into tears,לפרוץ בבכי,8,lexisband3,She burst into tears when she heard the news.
bury,לקבור,8,lexisband3,They buried the treasure in the garden.
bus,אוטובוס,1,band22,"We use ""bus"" in English."
business,עסקים,8,band22,My parents own a small business.
businessman,איש עסקים,8,band22,"We use ""businessman"" in English."
busy,עסוק,3,band22,I'm too busy to talk.
but,אבל,3,band22,"We use ""but"" in English."
butcher,קצב,8,lexisband3,Buy the meat from the butcher.
